Ngày,Mở cửa,Đóng cửa,Thay đổi,% Thay đổi,Khối lượng GD Khớp lệnh,Giá trị GD Khớp lệnh,Khối lượng GD Thỏa thuận,Giá trị GD Thoả thuận,Tổng khối lượng GD,Tổng giá trị GD
29/04/2021,1239.39,1239.39,9.84,0.8,589908900.0,17931760000000.0,29113630.0,963380000000.0,619022530.0,18895140000000.0
28/04/2021,1234.91,1229.55,9.8,0.8,564991800.0,14103180000000.0,15934753.0,699380000000.0,580926553.0,14802560000000.0
27/04/2021,1219.75,1219.75,3.98,0.33,521474000.0,12908530000000.0,67062909.0,2112270000000.0,588536909.0,15020800000000.0
26/04/2021,1213.84,1215.77,-32.76,-2.62,658322900.0,16676770000000.0,39776746.0,1891000000000.0,698099646.0,18567760000000.0
23/04/2021,1248.53,1248.53,20.71,1.69,649915400.0,17763050000000.0,25534310.0,1837660000000.0,675449710.0,19600720000000.0
22/04/2021,1227.82,1227.82,-40.46,-3.19,698438000.0,18411920000000.0,30306627.0,1759850000000.0,728744627.0,20171770000000.0
20/04/2021,1264.31,1268.28,7.7,0.61,744449500.0,20911680000000.0,39865100.0,1551460000000.0,784314600.0,22463150000000.0
19/04/2021,1267.74,1260.58,21.87,1.77,739357700.0,18157090000000.0,41510355.0,1277110000000.0,780868055.0,19434200000000.0
16/04/2021,1243.58,1238.71,-8.54,-0.68,917608000.0,19858940000000.0,32651537.0,1372020000000.0,950259537.0,21230960000000.0
15/04/2021,1245.06,1247.25,-8.62,-0.69,737962700.0,18847180000000.0,25180026.0,1292430000000.0,763142726.0,20139610000000.0
14/04/2021,1255.87,1255.87,7.54,0.6,786419100.0,17594950000000.0,33657084.0,1187250000000.0,820076184.0,18782190000000.0
13/04/2021,1240.9,1248.33,-4.12,-0.33,948751600.0,20266660000000.0,46348113.0,2726890000000.0,995099713.0,22993550000000.0
12/04/2021,1262.44,1252.45,20.79,1.69,828504900.0,19830030000000.0,26599003.0,1250600000000.0,855103903.0,21080620000000.0
09/04/2021,1236.79,1231.66,-3.23,-0.26,637078200.0,14030980000000.0,71805160.0,3756490000000.0,708883360.0,17787470000000.0
08/04/2021,1234.89,1234.89,-7.49,-0.6,617027800.0,13122010000000.0,26709249.0,967420000000.0,643737049.0,14089430000000.0
07/04/2021,1246.4,1242.38,2.42,0.2,657273300.0,14730180000000.0,44216870.0,1401890000000.0,701490170.0,16132070000000.0
06/04/2021,1239.96,1239.96,3.91,0.32,635378800.0,15223830000000.0,34837679.0,1384460000000.0,670216479.0,16608290000000.0
05/04/2021,1233.37,1236.05,11.6,0.95,613276600.0,14893160000000.0,50625472.0,1508940000000.0,663902072.0,16402099999999.998
02/04/2021,1245.28,1224.45,8.35,0.69,588389800.0,14216650000000.0,49198295.0,1832500000000.0,637588095.0,16049150000000.0
01/04/2021,1216.1,1216.1,24.66,2.07,615838900.0,15170130000000.0,33047480.0,1479540000000.0,648886380.0,16649669999999.998
31/03/2021,1191.44,1191.44,5.08,0.43,651011600.0,12924620000000.0,29476685.0,1437020000000.0,680488285.0,14361640000000.0
30/03/2021,1186.36,1186.36,10.68,0.91,680641400.0,14416610000000.0,69700690.0,2131889999999.9998,750342090.0,16548500000000.0
29/03/2021,1175.68,1175.68,13.47,1.16,575143600.0,12105730000000.0,58324945.0,1753560000000.0,633468545.0,13859290000000.0
26/03/2021,1162.21,1162.21,-0.89,-0.08,611052400.0,14097220000000.0,32828753.0,1163500000000.0,643881153.0,15260720000000.0
25/03/2021,1163.1,1163.1,1.29,0.11,591009000.0,13428970000000.0,71686680.0,3484210000000.0,662695680.0,16913180000000.0
24/03/2021,1161.81,1161.81,-21.64,-1.83,631634200.0,14737530000000.0,96229005.0,2621320000000.0,727863205.0,17358849999999.998
23/03/2021,1183.45,1183.45,-10.98,-0.92,624172900.0,13924220000000.0,35940893.0,1101670000000.0,660113793.0,15025880000000.0
22/03/2021,1194.43,1194.43,0.38,0.03,607491700.0,13623990000000.0,71743966.0,1932990000000.0,679235666.0,15556980000000.0
19/03/2021,1194.05,1194.05,-6.89,-0.57,581900500.0,14476970000000.0,74307317.0,2406660000000.0,656207817.0,16883630000000.002
18/03/2021,1200.94,1200.94,14.85,1.25,554038700.0,13439220000000.0,40310348.0,1377790000000.0,594349048.0,14817010000000.0
17/03/2021,1186.09,1186.09,6.19,0.52,627908400.0,14052220000000.0,46424578.0,1425650000000.0,674332978.0,15477880000000.0
16/03/2021,1179.9,1179.9,-4.66,-0.39,607483400.0,13409920000000.0,41074412.0,1447590000000.0,648557812.0,14857510000000.0
15/03/2021,1184.56,1184.56,3.0,0.25,616320200.0,13718130000000.0,36487332.0,1112630000000.0,652807532.0,14830760000000.0
12/03/2021,1181.56,1181.56,-0.17,-0.01,571233400.0,13091700000000.0,26972294.0,1239000000000.0,598205694.0,14330710000000.0
11/03/2021,1181.73,1181.73,11.65,1.0,567907600.0,13471970000000.0,35060998.0,1301380000000.0,602968598.0,14773350000000.0
10/03/2021,1170.08,1170.08,8.11,0.7,547396200.0,13056550000000.0,153525273.0,4681870000000.0,700921473.0,17738410000000.0
09/03/2021,1161.97,1161.97,-6.3,-0.54,575402800.0,13717740000000.0,19335902.0,1024790000000.0,594738702.0,14742530000000.0
08/03/2021,1168.27,1168.27,-0.42,-0.04,608583700.0,14313030000000.0,18035906.0,852610000000.0,626619606.0,15165640000000.0
05/03/2021,1168.69,1168.69,0.17,0.01,536920900.0,13739770000000.0,20498107.0,936080000000.0,557419007.0,14675850000000.0
04/03/2021,1168.52,1168.52,-18.43,-1.55,612068100.0,15136640000000.0,37190370.0,1361460000000.0,649258470.0,16498099999999.998
03/03/2021,1186.95,1186.95,0.34,0.03,563223200.0,13631200000000.0,41384009.0,1365850000000.0,604607209.0,14997060000000.0
02/03/2021,1186.61,1186.61,0.44,0.04,511868700.0,13622670000000.0,40220867.0,1350100000000.0,552089567.0,14972760000000.0
01/03/2021,1186.17,1186.17,17.7,1.51,574349200.0,14456940000000.0,49625810.0,1385720000000.0,623975010.0,15842660000000.0
26/02/2021,1168.47,1168.47,3.04,0.26,506868100.0,13663990000000.0,23101304.0,869460000000.0,529969404.0,14533450000000.0
25/02/2021,1165.43,1165.43,3.42,0.29,467673400.0,12440360000000.0,15996256.0,679270000000.0,483669656.0,13119620000000.0
24/02/2021,1162.01,1162.01,-15.63,-1.33,545345000.0,13949320000000.0,26876826.0,778790000000.0,572221826.0,14728100000000.0
23/02/2021,1177.64,1177.64,2.6,0.22,544835000.0,14136480000000.0,22577831.0,926750000000.0,567412831.0,15063230000000.0
22/02/2021,1175.04,1175.04,1.54,0.13,542052600.0,13769690000000.0,50819242.0,1096550000000.0,592871842.0,14866240000000.0
19/02/2021,1173.5,1173.5,-0.88,-0.07,520579200.0,13398660000000.0,19265890.0,926550000000.0,539845090.0,14325210000000.0
18/02/2021,1174.38,1174.38,18.6,1.61,560441800.0,13851360000000.0,16778323.0,835410000000.0,577220123.0,14686760000000.0
17/02/2021,1155.78,1155.78,40.85,3.66,481932100.0,12412870000000.0,45213425.0,1102010000000.0,527145525.0,13514890000000.0
09/02/2021,1114.93,1114.93,31.75,2.93,0.0,0.0,0.0,0.0,0.0,0.0
08/02/2021,1083.18,1083.18,-43.73,-3.88,609552000.0,15074780000000.0,53433093.0,1154470000000.0,662985093.0,16229250000000.0
05/02/2021,1126.91,1126.91,14.72,1.32,0.0,0.0,0.0,0.0,0.0,0.0
04/02/2021,1112.19,1112.19,0.9,0.08,445313500.0,10605750000000.0,30628997.0,1110100000000.0,475942497.0,11715850000000.0
03/02/2021,1111.29,1111.29,35.76,3.32,605765700.0,13170310000000.0,41907948.0,2064350000000.0,647673648.0,15234660000000.0
02/02/2021,1075.53,1075.53,40.02,3.86,525202300.0,11508730000000.0,44597187.0,1285370000000.0,569799487.0,12794100000000.0
01/02/2021,1035.51,1035.51,-21.1,-2.0,561321800.0,12149370000000.0,29821594.0,993390000000.0,591143394.0,13142750000000.0
29/01/2021,1056.61,1056.61,32.67,3.19,711668500.0,15755790000000.0,25782530.0,1382210000000.0,737451030.0,17138000000000.0
28/01/2021,1023.94,1023.94,-73.23,-6.67,666505700.0,15601080000000.0,53174391.0,2308760000000.0,719680091.0,17909850000000.0
27/01/2021,1097.17,1097.17,-38.95,-3.43,714739900.0,15434970000000.0,29736202.0,909390000000.0,744476102.0,16344360000000.0
26/01/2021,1136.12,1136.12,-29.93,-2.57,717361400.0,14884770000000.0,25685554.0,708320000000.0,743046954.0,15593100000000.0
25/01/2021,1166.05,1166.05,-0.73,-0.06,637664000.0,14506080000000.0,20421073.0,707260000000.0,658085073.0,15213340000000.0
22/01/2021,1166.78,1166.78,2.57,0.22,689335500.0,14544140000000.0,19027769.0,866570000000.0,708363269.0,15410710000000.0
21/01/2021,1164.21,1164.21,29.53,2.6,636148000.0,13879180000000.0,37484459.0,1286080000000.0,673632459.0,15165260000000.0
20/01/2021,1134.68,1134.68,3.68,0.33,768232900.0,16333570000000.0,21384403.0,876490000000.0,789617303.0,17210060000000.002
19/01/2021,1131.0,1131.0,-60.94,-5.11,886495400.0,17808470000000.0,55759306.0,2162190000000.0,942254706.0,19970670000000.0
18/01/2021,1189.91,1191.94,-2.26,-0.19,675731100.0,15821310000000.0,20821248.0,780740000000.0,696552348.0,16602050000000.0
15/01/2021,1194.2,1194.2,6.8,0.57,712945400.0,16133910000000.0,33684488.0,2276420000000.0,746629888.0,18410330000000.0
14/01/2021,1187.4,1187.4,1.35,0.11,707285500.0,15186590000000.0,36988696.0,1611050000000.0,744274196.0,16797640000000.0
13/01/2021,1186.05,1186.05,-6.23,-0.52,706610400.0,15429490000000.0,56524702.0,2097389999999.9998,763135102.0,17526880000000.002
12/01/2021,1192.28,1192.28,7.39,0.62,641856400.0,14593590000000.0,21482869.0,671350000000.0,663339269.0,15264940000000.0
11/01/2021,1184.89,1184.89,17.2,1.47,735396400.0,16229110000000.0,54893671.0,1815320000000.0,790290071.0,18044430000000.0
08/01/2021,1176.47,1167.69,11.2,0.97,723716600.0,16016240000000.0,37886848.0,1482430000000.0,761603448.0,17498660000000.0
07/01/2021,1156.49,1156.49,13.28,1.16,681104800.0,15162110000000.0,34832636.0,1208780000000.0,715937436.0,16370890000000.0
