Mã chứng khoán,Tên chứng khoán,Ngành,% Thay đổi
CIG,Công ty Cổ phần COMA 18,Xây dựng và Vật liệu,178.69
FUCVREIT,Quỹ đầu tư Bất động sản Techcom Việt Nam,Dịch vụ tài chính,161.12
RIC,Công ty Cổ phần Quốc Tế Hoàng Gia,Du lịch và giải trí,159.45
TNT,Công ty Cổ phần Tập đoàn TNT,Tài nguyên cơ bản,157.54999999999995
TGG,Công ty Cổ phần Đầu tư và Xây dựng Trường Giang,Xây dựng và Vật liệu,131.16
TSC,Công ty Cổ phần Vật tư Kỹ thuật Nông nghiệp Cần Thơ,Hóa chất,116.86
ABS,Công ty Cổ phần Dịch vụ Nông nghiệp Bình Thuận,Bán lẻ,116.71999999999996
LCM,Công ty Cổ phần Khai thác và Chế biến Khoáng sản Lào Cai,Tài nguyên cơ bản,115.91000000000004
TEG,Công ty Cổ phần Năng Lượng và Bất động sản Trường Thành,Bất động sản,103.72
ROS,Công ty Cổ phần Xây dựng FLC FAROS,Xây dựng và Vật liệu,101.29
AMD,Công ty Cổ phần Đầu tư và Khoáng sản FLC Stone,Bất động sản,98.82
SGT,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Công nghệ thông tin,96.93999999999998
FLC,Công ty Cổ phần Tập đoàn FLC,Bất động sản,95.65
SHI,Công ty Cổ phần Quốc tế Sơn Hà,Tài nguyên cơ bản,91.7
FTM,Công ty Cổ phần Đầu tư và Phát triển Đức Quân,Hàng cá nhân & Gia dụng,86.32
DTA,Công ty Cổ phần Đệ Tam,Bất động sản,83.98
DAH,Công ty Cổ phần Tập đoàn Khách sạn Đông Á,Du lịch và giải trí,83.40000000000002
DLG,Công ty Cổ phần Tập đoàn Đức Long Gia Lai,Tài nguyên cơ bản,81.82999999999998
HQC,Công ty Cổ phần Tư vấn,Bất động sản,75.98999999999998
TCM,Công ty Cổ phần Dệt may,Hàng cá nhân & Gia dụng,74.85999999999999
HAS,Công ty Cổ phần Hacisco,Xây dựng và Vật liệu,73.76
TLH,Công ty Cổ phần Tập đoàn Thép Tiến Lên,Tài nguyên cơ bản,71.59
NVL,Công ty Cổ phần Tập đoàn Đầu tư Địa ốc No Va,Bất động sản,71.26
