Ngày,Tham chiếu,Tổng khối lượng GD,Tổng giá trị GD,Vốn hóa Thị trường,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Thay đổi,% Thay đổi,Khối lượng GD Khớp lệnh,Giá trị GD Khớp lệnh,Khối lượng GD Thỏa thuận,Giá trị GD Thoả thuận
29/04/2021,"4,000","1,598,900",6606000000.0,102,"3,850","3,750","4,280","3,750",-250.0,-6.25,"1,598,900",6606000000.0,-,
28/04/2021,"3,880","1,161,000",4798000000.0,109,"3,860","4,000","4,150","3,860",120.0,3.09,"1,161,000",4798000000.0,-,
27/04/2021,"4,100","497,700",1963000000.0,106,"3,900","3,880","4,100","3,840",-220.0,-5.37,"497,700",1963000000.0,-,
26/04/2021,"4,400","696,000",2881000000.0,112,"4,100","4,100","4,320","4,100",-300.0,-6.82,"696,000",2881000000.0,-,
23/04/2021,"4,290","3,133,200",13080000000.0,120,"3,990","4,400","4,590","3,990",110.0,2.56,"3,133,200",13080000000.0,-,
22/04/2021,"4,610","1,086,600",4676000000.0,117,"4,290","4,290","4,590","4,290",-320.0,-6.94,"1,086,600",4676000000.0,-,
20/04/2021,"4,950","1,151,800",5423000000.0,126,"4,950","4,610","4,950","4,610",-340.0,-6.87,"1,151,800",5423000000.0,-,
19/04/2021,"4,630","9,657,900",43614000000.0,135,"4,310","4,950","4,950","4,310",320.0,6.91,"9,657,900",43614000000.0,-,
16/04/2021,"4,440","3,558,700",16330000000.0,126,"4,750","4,630","4,750","4,430",190.0,4.28,"3,558,700",16330000000.0,-,
15/04/2021,"4,150","2,361,000",10481000000.0,121,"4,440","4,440","4,440","4,420",290.0,6.99,"2,361,000",10481000000.0,-,
14/04/2021,"3,880","2,090,800",8496000000.0,113,"3,880","4,150","4,150","3,880",270.0,6.96,"2,090,800",8496000000.0,-,
13/04/2021,"3,630","3,359,200",12952000000.0,106,"3,880","3,880","3,880","3,630",250.0,6.89,"3,359,200",12952000000.0,-,
12/04/2021,"3,400","880,800",3197000000.0,99,"3,630","3,630","3,630","3,630",230.0,6.76,"880,800",3197000000.0,-,
09/04/2021,"3,180","2,669,900",8754000000.0,93,"3,180","3,400","3,400","3,060",220.0,6.92,"2,669,900",8754000000.0,-,
08/04/2021,"3,060","3,284,100",10348000000.0,87,"3,270","3,180","3,270","2,900",120.0,3.92,"3,284,100",10348000000.0,-,
07/04/2021,"2,860","1,118,800",3424000000.0,84,"3,060","3,060","3,060","3,060",200.0,6.99,"1,118,800",3424000000.0,-,
06/04/2021,"2,680","905,300",2589000000.0,78,"2,860","2,860","2,860","2,860",180.0,6.72,"905,300",2589000000.0,-,
05/04/2021,"2,510","2,491,100",6586000000.0,73,"2,520","2,680","2,680","2,510",170.0,6.77,"2,491,100",6586000000.0,-,
