Ngày,Tham chiếu,Tổng khối lượng GD,Tổng giá trị GD,Vốn hóa Thị trường,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Thay đổi,% Thay đổi,Khối lượng GD Khớp lệnh,Giá trị GD Khớp lệnh,Khối lượng GD Thỏa thuận,Giá trị GD Thoả thuận
29/04/2021,"28,800","1,319,700",39860000000.0,"1,750","28,800","30,800","30,800","28,800","2,000",6.94,"1,034,700",31652000000.0,"285,000",8208000000.0
28/04/2021,"28,700","138,400",3993000000.0,"1,637","28,700","28,800","29,100","28,700",100,0.35,"138,400",3993000000.0,-,
27/04/2021,"28,550","174,400",5053000000.0,"1,631","28,500","28,700","29,250","28,400",150,0.53,"174,400",5053000000.0,-,
26/04/2021,"28,800","166,800",4803000000.0,"1,623","29,250","28,550","29,250","28,450",-250,-0.87,"166,800",4803000000.0,-,
23/04/2021,"28,250","125,800",3562000000.0,"1,637","28,050","28,800","28,800","28,050",550,1.95,"125,800",3562000000.0,-,
22/04/2021,"28,500","173,800",4896000000.0,"1,606","28,050","28,250","28,400","28,000",-250,-0.88,"173,800",4896000000.0,-,
20/04/2021,"28,200","156,600",4414000000.0,"1,620","28,100","28,500","28,500","27,800",300,1.06,"156,600",4414000000.0,-,
19/04/2021,"28,100","145,500",4079000000.0,"1,603","28,400","28,200","28,400","27,900",100,0.36,"145,500",4079000000.0,-,
16/04/2021,"28,400","126,400",3541000000.0,"1,597","28,500","28,100","28,500","27,600",-300,-1.06,"126,400",3541000000.0,-,
15/04/2021,"28,800","27,300",778000000.0,"1,614","28,800","28,400","28,800","28,300",-400,-1.39,"27,300",778000000.0,-,
14/04/2021,"28,600","84,300",2404000000.0,"1,637","28,600","28,800","28,800","28,300",200,0.7,"84,300",2404000000.0,-,
13/04/2021,"29,000","139,400",4018000000.0,"1,625","29,100","28,600","29,300","28,600",-400,-1.38,"139,400",4018000000.0,-,
12/04/2021,"28,600","118,500",3424000000.0,"1,648","28,600","29,000","29,200","28,600",400,1.4,"118,500",3424000000.0,-,
09/04/2021,"29,200","179,000",5190000000.0,"1,625","29,200","28,600","29,200","28,600",-600,-2.05,"179,000",5190000000.0,-,
08/04/2021,"28,500","340,100",9924000000.0,"1,660","28,900","29,200","29,500","28,500",700,2.46,"340,100",9924000000.0,-,
07/04/2021,"28,500","102,300",2880000000.0,"1,620","28,150","28,500","28,500","28,000",,,"102,300",2880000000.0,-,
06/04/2021,"28,500","110,800",3129000000.0,"1,620","28,250","28,500","28,500","28,000",,,"110,800",3129000000.0,-,
05/04/2021,"28,800","106,300",3017000000.0,"1,620","28,500","28,500","28,600","28,100",-300,-1.04,"106,300",3017000000.0,-,
02/04/2021,"29,000","183,600",5178000000.0,"1,637","28,200","28,800","28,800","27,900",-200,-0.69,"183,600",5178000000.0,-,
01/04/2021,"29,000","23,900",688000000.0,"1,648","28,800","29,000","29,000","28,500",,,"23,900",688000000.0,-,
31/03/2021,"29,000","77,300",2245000000.0,"1,648","29,050","29,000","29,300","28,800",,,"77,300",2245000000.0,-,
30/03/2021,"28,300","520,500",15138000000.0,"1,648","28,600","29,000","29,950","28,300",700,2.47,"520,500",15138000000.0,-,
29/03/2021,"28,500","108,100",3058000000.0,"1,608","28,400","28,300","28,600","27,800",-200,-0.7,"108,100",3058000000.0,-,
26/03/2021,"27,900","123,400",3353000000.0,"1,620","27,500","28,500","28,500","26,100",600,2.15,"123,400",3353000000.0,-,
25/03/2021,"28,000","125,900",3479000000.0,"1,586","27,550","27,900","27,950","27,450",-100,-0.36,"125,900",3479000000.0,-,
24/03/2021,"28,800","139,300",3947000000.0,"1,591","28,800","28,000","28,800","27,800",-800,-2.78,"139,300",3947000000.0,-,
23/03/2021,"29,200","127,300",3665000000.0,"1,637","29,000","28,800","29,100","28,600",-400,-1.37,"127,300",3665000000.0,-,
22/03/2021,"29,200","134,300",3906000000.0,"1,660","29,200","29,200","29,400","28,900",,,"134,300",3906000000.0,-,
19/03/2021,"29,000","131,100",3815000000.0,"1,660","29,000","29,200","29,300","28,800",200,0.69,"131,100",3815000000.0,-,
18/03/2021,"29,000","177,600",5165000000.0,"1,648","29,250","29,000","29,400","28,700",,,"177,600",5165000000.0,-,
17/03/2021,"29,300","161,800",4691000000.0,"1,648","29,200","29,000","29,300","28,800",-300,-1.02,"161,800",4691000000.0,-,
16/03/2021,"29,350","126,000",3671000000.0,"1,665","29,300","29,300","29,900","28,700",-50,-0.17,"126,000",3671000000.0,-,
15/03/2021,"27,900","530,900",15269000000.0,"1,668","27,300","29,350","29,450","27,300","1,450",5.2,"530,900",15269000000.0,-,
12/03/2021,"28,000","52,100",1445000000.0,"1,586","27,600","27,900","27,900","27,600",-100,-0.36,"52,100",1445000000.0,-,
11/03/2021,"28,000","51,500",1432000000.0,"1,591","27,700","28,000","28,000","27,650",,,"51,500",1432000000.0,-,
10/03/2021,"28,400","51,700",1449000000.0,"1,591","28,000","28,000","28,300","27,900",-400,-1.41,"51,700",1449000000.0,-,
09/03/2021,"28,500","67,200",1888000000.0,"1,614","28,500","28,400","28,550","28,000",-100,-0.35,"67,200",1888000000.0,-,
08/03/2021,"29,000","134,100",3818000000.0,"1,620","29,000","28,500","29,000","27,750",-500,-1.72,"134,100",3818000000.0,-,
05/03/2021,"28,000","199,300",5528000000.0,"1,648","28,000","29,000","29,000","27,600","1,000",3.57,"199,300",5528000000.0,-,
04/03/2021,"28,700","104,400",2923000000.0,"1,591","28,100","28,000","28,300","27,500",-700,-2.44,"104,400",2923000000.0,-,
03/03/2021,"27,900","102,400",2878000000.0,"1,631","27,500","28,700","29,000","27,500",800,2.87,"102,400",2878000000.0,-,
02/03/2021,"27,900","56,300",1563000000.0,"1,586","27,700","27,900","27,900","27,500",,,"56,300",1563000000.0,-,
01/03/2021,"27,900","85,800",2387000000.0,"1,586","27,900","27,900","27,950","27,500",,,"85,800",2387000000.0,-,
26/02/2021,"27,900","88,000",2420000000.0,"1,586","27,600","27,900","27,900","27,300",,,"88,000",2420000000.0,-,
25/02/2021,"28,000","283,900",7931000000.0,"1,586","28,300","27,900","28,300","27,600",-100,-0.36,"283,900",7931000000.0,-,
24/02/2021,"28,450","93,000",2597000000.0,"1,591","28,450","28,000","28,450","27,350",-450,-1.58,"93,000",2597000000.0,-,
23/02/2021,"28,500","113,600",3236000000.0,"1,617","28,500","28,450","28,800","28,000",-50,-0.18,"113,600",3236000000.0,-,
22/02/2021,"28,500","90,900",2598000000.0,"1,620","28,500","28,500","28,850","28,200",,,"90,900",2598000000.0,-,
19/02/2021,"28,850","134,200",3877000000.0,"1,620","28,600","28,500","29,200","28,400",-350,-1.21,"134,200",3877000000.0,-,
18/02/2021,"27,600","195,100",5498000000.0,"1,640","27,600","28,850","29,000","27,600","1,250",4.53,"195,100",5498000000.0,-,
17/02/2021,"27,450","101,700",2802000000.0,"1,569","27,800","27,600","28,000","27,000",150,0.55,"101,700",2802000000.0,-,
09/02/2021,"26,900","129,500",3481000000.0,"1,560","26,850","27,450","27,950","26,500",550,2.04,"129,500",3481000000.0,-,
08/02/2021,"26,500","1,505,600",38893000000.0,"1,529","27,100","26,900","27,100","25,400",400,1.51,"1,505,600",38893000000.0,-,
05/02/2021,"27,500","589,500",15419000000.0,"1,506","27,900","26,500","27,900","25,700","-1,000",-3.64,"589,500",15419000000.0,-,
04/02/2021,"28,000","139,800",3889000000.0,"1,563","28,000","27,500","28,500","27,400",-500,-1.79,"139,800",3889000000.0,-,
03/02/2021,"26,400","115,900",3147000000.0,"1,591","26,700","28,000","28,000","26,400","1,600",6.06,"115,900",3147000000.0,-,
02/02/2021,"26,000","142,000",3640000000.0,"1,500","25,600","26,400","26,400","25,100",400,1.54,"142,000",3640000000.0,-,
01/02/2021,"27,000","138,300",3622000000.0,"1,478","27,500","26,000","27,500","25,600","-1,000",-3.7,"138,300",3622000000.0,-,
29/01/2021,"25,800","183,000",4756000000.0,"1,534","24,550","27,000","27,050","24,550","1,200",4.65,"183,000",4756000000.0,-,
28/01/2021,"27,700","572,100",14856000000.0,"1,466","26,100","25,800","27,050","25,800","-1,900",-6.86,"572,100",14856000000.0,-,
27/01/2021,"27,700","601,600",16604000000.0,"1,574","26,600","27,700","27,950","26,600",,,"601,600",16604000000.0,-,
26/01/2021,"28,150","621,600",17002000000.0,"1,574","26,250","27,700","28,000","26,250",-450,-1.6,"621,600",17002000000.0,-,
25/01/2021,"30,250","769,000",21652000000.0,"1,600","28,150","28,150","28,800","28,150","-2,100",-6.94,"769,000",21652000000.0,-,
22/01/2021,"32,500","894,600",27503000000.0,"1,719","31,900","30,250","32,200","30,250","-2,250",-6.92,"894,600",27503000000.0,-,
21/01/2021,"32,800","336,100",10888000000.0,"1,847","32,800","32,500","33,000","31,050",-300,-0.91,"336,100",10888000000.0,-,
20/01/2021,"33,000","391,100",12354000000.0,"1,864","33,000","32,800","33,000","30,700",-200,-0.61,"391,100",12354000000.0,-,
19/01/2021,"32,400","437,700",14093000000.0,"1,875","32,400","33,000","34,650","30,150",600,1.85,"437,700",14093000000.0,-,
18/01/2021,"30,300","455,000",14481000000.0,"1,841","30,300","32,400","32,400","30,100","2,100",6.93,"425,000",13635000000.0,"30,000",846000000.0
15/01/2021,"28,750","908,600",26174000000.0,"1,722","28,900","30,300","30,550","28,900","1,550",5.39,"574,600",17156000000.0,"334,000",9018000000.0
14/01/2021,"28,800","180,100",5155000000.0,"1,634","28,500","28,750","28,800","28,000",-50,-0.17,"180,100",5155000000.0,-,
13/01/2021,"29,000","262,000",7542000000.0,"1,637","29,000","28,800","29,000","28,400",-200,-0.69,"262,000",7542000000.0,-,
12/01/2021,"27,250","969,500",26242000000.0,"1,648","28,000","29,000","29,000","27,850","1,750",6.42,"569,500",16082000000.0,"400,000",10160000000.0
11/01/2021,"25,500","627,000",16846000000.0,"1,549","25,500","27,250","27,250","25,500","1,750",6.86,"627,000",16846000000.0,-,
08/01/2021,"25,300","950,800",24991000000.0,"1,449","25,300","25,500","27,050","25,300",200,0.79,"950,800",24991000000.0,-,
07/01/2021,"24,900","199,100",4935000000.0,"1,438","24,800","25,300","25,300","24,400",400,1.61,"199,100",4935000000.0,-,
06/01/2021,"25,500","314,100",7881000000.0,"1,415","25,500","24,900","25,500","24,800",-600,-2.35,"314,100",7881000000.0,-,
05/01/2021,"25,500","326,500",8265000000.0,"1,449","25,400","25,500","25,600","25,000",,,"326,500",8265000000.0,-,
04/01/2021,"25,200","319,500",8153000000.0,"1,449","25,600","25,500","25,900","25,000",300,1.19,"319,500",8153000000.0,-,
31/12/2020,"25,500","378,310",9282000000.0,"1,432","25,500","25,200","25,500","24,100",-300,-1.18,"378,310",9282000000.0,-,
30/12/2020,"25,600","152,360",3836000000.0,"1,449","25,250","25,500","25,500","24,900",-100,-0.39,"152,360",3836000000.0,-,
29/12/2020,"25,600","188,250",4805000000.0,"1,455","25,300","25,600","25,800","25,300",,,"188,250",4805000000.0,-,
28/12/2020,"25,400","302,230",7685000000.0,"1,455","25,700","25,600","25,900","25,250",200,0.79,"302,230",7685000000.0,-,
25/12/2020,"25,000","217,270",5376000000.0,"1,444","24,900","25,400","25,800","24,000",400,1.6,"217,270",5376000000.0,-,
24/12/2020,"26,000","303,230",7438000000.0,"1,421","25,300","25,000","25,600","24,200","-1,000",-3.85,"303,230",7438000000.0,-,
23/12/2020,"26,000","203,460",5223000000.0,"1,478","26,000","26,000","26,000","25,350",,,"203,460",5223000000.0,-,
22/12/2020,"24,500","327,440",8458000000.0,"1,478","25,900","26,000","26,100","25,600","1,500",6.12,"327,440",8458000000.0,-,
21/12/2020,"22,900","430,090",10533000000.0,"1,392","24,500","24,500","24,500","24,000","1,600",6.99,"430,090",10533000000.0,-,
18/12/2020,"21,650","323,110",7317000000.0,"1,301","21,650","22,900","23,100","21,650","1,250",5.77,"323,110",7317000000.0,-,
17/12/2020,"21,650","140,320",3018000000.0,"1,230","21,650","21,650","21,700","21,000",,,"140,320",3018000000.0,-,
16/12/2020,"21,900","75,280",1644000000.0,"1,230","21,900","21,650","22,100","21,600",-250,-1.14,"75,280",1644000000.0,-,
15/12/2020,"21,400","181,690",3997000000.0,"1,245","22,500","21,900","22,500","21,450",500,2.34,"181,690",3997000000.0,-,
14/12/2020,"20,000","517,130",10876000000.0,"1,216","19,800","21,400","21,400","19,800","1,400",7.0,"517,130",10876000000.0,-,
11/12/2020,"19,650","37,560",743000000.0,"1,137","19,650","20,000","20,000","19,500",350,1.78,"37,560",743000000.0,-,
10/12/2020,"20,000","58,180",1148000000.0,"1,117","19,800","19,650","20,000","19,600",-350,-1.75,"58,180",1148000000.0,-,
