Tên chứng khoán,Mã chứng khoán,Sàn giao dịch,Ngành cấp 3
CTCP Tasco,HUT,HNX,Phát triển bất động sản
CTCP Sông Đà 1.01,SJC,HNX,Bất động sản 
CTCP Địa ốc 11,D11,HNX,Phát triển bất động sản
CTCP Licogi 14,L14,HNX,Phát triển bất động sản
CTCP Sonadezi Long Bình,SZB,HNX,Bất động sản 
CTCP Đầu tư Nhà Đất Việt,PVL,HNX,Bất động sản 
CTCP Tập Đoàn Danh Khôi,NRC,HNX,Bất động sản 
CTCP Địa ốc Chợ Lớn,RCL,HNX,Phát triển bất động sản
CTCP Phát triển Hạ tầng Vĩnh Phúc,IDV,HNX,Bất động sản 
CTCP Đầu tư PV2,PV2,HNX,Bất động sản 
CTCP Đầu tư Châu Á - Thái Bình Dương,API,HNX,Phát triển bất động sản
CTCP Thống Nhất,BAX,HNX,Bất động sản 
CTCP Xây dựng Sông Hồng,ICG,HNX,Phát triển bất động sản
CTCP Louis Holdings,BII,HNX,Bất động sản 
CTCP Tập đoàn Nam Mê Kông,VC3,HNX,Phát triển bất động sản
CTCP Tập đoàn BGI,VC7,HNX,Phát triển bất động sản
CTCP ANI,SIC,HNX,Bất động sản 
CTCP Tập đoàn C.E.O,CEO,HNX,Phát triển bất động sản
CTCP Đầu tư và Phát triển Bất động sản HUDLAND,HLD,HNX,Phát triển bất động sản
CTCP Đầu tư Phát triển Nhà Đà Nẵng,NDN,HNX,Phát triển bất động sản
CTCP Đầu tư Xây dựng và Phát triển Đô thị Sông Đà,SDU,HNX,Bất động sản 
CTCP Tập đoàn Đầu tư Thăng Long,TIG,HNX,Bất động sản 
CTCP Đầu tư và Xây dựng HUD1,HU1,HOSE,Phát triển bất động sản
CTCP Tập đoàn FLC,FLC,HOSE,Phát triển bất động sản
CTCP Tập đoàn Tư vấn Đầu tư Xây dựng Kiên Giang,CKG,HOSE,Phát triển bất động sản
CTCP Phát triển Bất động sản Phát Đạt,PDR,HOSE,Phát triển bất động sản
