Tên chứng khoán,Mã chứng khoán,Sàn giao dịch,Ngành cấp 3
CTCP Sách và Thiết bị Trường học Đà Nẵng,BED,HNX,Công nghiệp xuất bản - Ngoại trừ internet
CTCP Kỹ thuật Điện Toàn cầu,GLT,HNX,Viễn thông
CTCP Truyền thông Số 1,ONE,HNX,Viễn thông
CTCP KASATI,KST,HNX,Viễn thông
CTCP Công nghệ Viễn thông VITECO,VIE,HNX,Viễn thông
CTCP Viễn thông VTC,VTC,HNX,Viễn thông
CTCP Sách và Thiết bị Giáo dục Miền Nam,SMN,HNX,Công nghiệp xuất bản - Ngoại trừ internet
CTCP Mỹ thuật và Truyền thông,ADC,HNX,Công nghiệp xuất bản - Ngoại trừ internet
CTCP Sách và Thiết bị Trường học Quảng Ninh,QST,HNX,Công nghiệp xuất bản - Ngoại trừ internet
CTCP Sách và Thiết bị Bình Thuận,BST,HNX,Công nghiệp xuất bản - Ngoại trừ internet
CTCP Sách và Thiết bị Bình Định,BDB,HNX,Công nghiệp xuất bản - Ngoại trừ internet
CTCP Đầu tư và Phát triển Giáo dục Đà Nẵng,DAD,HNX,Công nghiệp xuất bản - Ngoại trừ internet
CTCP Tin học Viễn thông Petrolimex,PIA,HNX,Các dịch vụ thông tin khác
CTCP Đầu tư và Phát triển Giáo dục Hà Nội,EID,HNX,Công nghiệp xuất bản - Ngoại trừ internet
CTCP Sách Giáo dục tại Thành phố Đà Nẵng,DAE,HNX,Công nghiệp xuất bản - Ngoại trừ internet
CTCP Sách Giáo dục tại Thành phố Hà Nội,EBS,HNX,Công nghiệp xuất bản - Ngoại trừ internet
CTCP Sách Giáo dục tại Thành phố Hồ Chí Minh,SGD,HNX,Công nghiệp xuất bản - Ngoại trừ internet
CTCP Sách và Thiết bị Trường học Thành phố Hồ Chí Minh,STC,HNX,Công nghiệp xuất bản - Ngoại trừ internet
CTCP Đầu tư và Phát triển Giáo dục Phương Nam,SED,HNX,Công nghiệp xuất bản - Ngoại trừ internet
CTCP In sách giáo khoa tại Thành phố Hà Nội,TPH,HNX,Công nghiệp xuất bản - Ngoại trừ internet
CTCP Sách Đại học Dạy nghề,HEV,HNX,Công nghiệp xuất bản - Ngoại trừ internet
CTCP Sách và Thiết bị Trường học Long An,LBE,HNX,Công nghiệp xuất bản - Ngoại trừ internet
CTCP Sách thiết bị Trường học Hà Tĩnh,HBE,HNX,Công nghiệp xuất bản - Ngoại trừ internet
CTCP Bản đồ và Tranh ảnh Giáo dục,ECI,HNX,Công nghiệp xuất bản - Ngoại trừ internet
CTCP Đầu tư Sao Thăng Long,DST,HNX,Công nghiệp xuất bản - Ngoại trừ internet
CTCP Đầu tư Phát triển Công nghệ Điện tử - Viễn thông,ELC,HOSE,Viễn thông
CTCP Công nghệ Tiên Phong,ITD,HOSE,Viễn thông
CTCP Viễn thông - Tin học Bưu điện,ICT,HOSE,Viễn thông
CTCP Tập đoàn Công nghệ CMC,CMG,HOSE,Các dịch vụ thông tin khác
CTCP FPT,FPT,HOSE,Công nghiệp xuất bản - Ngoại trừ internet
