Ngày,Tham chiếu,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Thay đổi,% Thay đổi,Khối lượng GD Khớp lệnh,Giá trị GD Khớp lệnh,Khối lượng GD Thỏa thuận,Giá trị GD Thoả thuận,Tổng khối lượng GD,Tổng giá trị GD,Vốn hóa Thị trường
29/04/2021,80.12,80.12,80.68,80.83,80.04,0.56,0.7,40374400,541323860000.0,1790714,39890429000.0,42165114,581214289000.0,1034715526035800.0
28/04/2021,79.41,79.41,80.12,80.13,79.28,0.7,0.89,28938300,404325740000.0,4922983,128135735900.0,33861283,532461475899.99994,1030252248685500.0
27/04/2021,79.42,79.42,79.41,79.96,79.24,-0.01,-0.01,38099300,477116860000.0,743605,35773545000.0,38842905,512890405000.0,1028543966246200.0
26/04/2021,80.4,80.4,79.42,80.85,79.26,-0.98,-1.21,48615300,586124650000.0,3975662,54902547200.0,52590962,641027197200.0,1037089498523200.0
23/04/2021,79.75,79.75,80.4,80.48,78.88,0.65,0.81,109452100,820246020000.0,2277334,36271649900.0,111729434,856517669900.0,1049685593682400.0
22/04/2021,81.73,81.73,79.75,82.0,79.58,-1.98,-2.42,62209900,898626420000.0,2393054,59510042000.0,64602954,958136462000.0,1040094140740500.0
20/04/2021,81.99,81.99,81.73,82.38,81.5,-0.27,-0.32,64273600,804424700000.0,3837963,90583323000.0,68111563,895008023000.0,1070968392592900.0
19/04/2021,81.79,81.44,81.99,82.04,81.1,0.2,0.25,54229500,742714540000.0,8954973,128436925200.0,63184473,871151465200.0,1069793256053700.0
16/04/2021,82.7,82.72,81.79,82.9,81.05,-0.91,-1.1,129582833,1524688253409.0,12170191,12170191.0,141753024,1524700423600.0,1072481005678600.0
15/04/2021,83.4,83.28,82.7,83.61,82.47,-0.7,-0.84,73288247,1087362420156.0,2278044,2278044.0,75566291,1087364698200.0,1082064288500900.0
14/04/2021,83.13,83.19,83.4,83.4,82.38,0.27,0.32,75799898,1092898815622.0,1419278,1419278.0,77219176,1092900234900.0,1092504965128500.0
13/04/2021,84.1,84.13,83.13,84.3,82.96,-0.97,-1.15,117135171,1782334654190.0,6066210,6066210.0,123201381,1782340720400.0,1086166566704400.1
12/04/2021,83.01,83.08,84.1,84.13,83.08,1.09,1.32,79804091,1255217445156.0,172144,172144.0,79976235,1255217617300.0,1102548372537700.0
09/04/2021,83.07,83.3,83.01,83.3,82.66,-0.06,-0.07,107622800,929107190000.0,4195918,64175337000.0,111818718,993282527000.0,1098971305510200.0
08/04/2021,82.56,82.82,83.07,83.25,82.31,0.51,0.62,91256591,1520817352730.0,15564870,15564870.0,106821461,1520832917600.0,1099187418234200.0
