Ngày,Tham chiếu,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Thay đổi,% Thay đổi,Khối lượng GD Khớp lệnh,Giá trị GD Khớp lệnh,Khối lượng GD Thỏa thuận,Giá trị GD Thoả thuận,Tổng khối lượng GD,Tổng giá trị GD,Vốn hóa Thị trường
29/04/2021,1229.55,1234.91,1239.39,1239.39,1231.25,9.84,0.8,614232800,18090624000000.0,32827374,1206428000000.0,647060174,19297052000000.0,4660859320394510.0
28/04/2021,1219.75,1220.26,1229.55,1230.91,1217.49,9.8,0.8,589498400,14247139000000.0,23198789,1162855000000.0,612697189,15409994000000.0,4620121273796360.0
27/04/2021,1215.77,1213.84,1219.75,1220.96,1204.14,3.98,0.33,544650900,13065390000000.0,73518980,2393871000000.0,618169880,15459261000000.0,4583342788733870.0
26/04/2021,1248.53,1251.25,1215.77,1251.25,1214.14,-32.76,-2.62,685386500,16862160000000.0,59558231,2433503000000.0,744944731,19295663000000.0,4558272363517310.0
23/04/2021,1227.82,1227.18,1248.53,1248.53,1216.15,20.71,1.69,684222800,17960617000000.0,32295868,2129357000000.0,716518668,20089974000000.0,4685658546753140.0
22/04/2021,1268.28,1264.31,1227.82,1271.98,1227.82,-40.46,-3.19,732254600,18593777000000.0,38118283,2069613000000.0,770372883,20663390000000.0,4607562305264760.0
20/04/2021,1260.58,1267.74,1268.28,1286.32,1261.28,7.7,0.61,798483500,21165398000000.0,45118428,1934757000000.0,843601928,23100155000000.0,4759467801653090.0
19/04/2021,1238.71,1243.58,1260.58,1260.58,1233.77,21.87,1.77,773047000,18350463000000.0,43932717,1449190000000.0,816979717,19799653000000.0,4730437802244480.0
16/04/2021,1247.25,1245.06,1238.71,1254.61,1227.14,-8.54,-0.68,948989400,20048300000000.0,37888440,1711537000000.0,986877840,21759837000000.0,4645335365706650.0
15/04/2021,1255.87,1262.25,1247.25,1265.87,1247.25,-8.62,-0.69,771443700,19034858000000.0,35047736,1610663000000.0,806491436,20645521000000.0,4677635079652780.0
14/04/2021,1248.33,1240.9,1255.87,1255.87,1233.01,7.54,0.6,813503500,17746914000000.0,48451002,1598220000000.0,861954502,19345134000000.0,4709188544406720.0
13/04/2021,1252.45,1262.44,1248.33,1268.02,1247.66,-4.12,-0.33,977605500,20422897000000.0,49479843,3047592000000.0,1027085343,23470489000000.0,4680856533888130.0
12/04/2021,1231.66,1236.79,1252.45,1252.45,1232.35,20.79,1.69,857647000,19983938000000.0,32666325,1533732000000.0,890313325,21517670000000.0,4696141219569070.0
09/04/2021,1234.89,1231.51,1231.66,1234.98,1227.6,-3.23,-0.26,655839000,14137694000000.0,76978578,4070672000000.0,732817578,18208366000000.0,4618152218479540.0
08/04/2021,1242.38,1246.4,1234.89,1246.4,1232.26,-7.49,-0.6,633566500,13204989000000.0,30941210,1318004000000.0,664507710,14522993000000.0,4630525876390470.0
07/04/2021,1239.96,1237.39,1242.38,1242.38,1232.52,2.42,0.2,676166500,14843237000000.0,51617648,1678101000000.0,727784148,16521338000000.0,4658958650637190.0
06/04/2021,1236.05,1233.37,1239.96,1244.63,1231.14,3.91,0.32,656481800,15328797000000.0,37582662,1567460000000.0,694064462,16896257000000.0,4649942452913470.0
05/04/2021,1224.45,1245.28,1236.05,1245.28,1228.18,11.6,0.95,635303500,15003401000000.0,57732571,1812036000000.0,693036071,16815437000000.0,4633885273669630.0
02/04/2021,1216.1,1225.76,1224.45,1228.29,1221.07,8.35,0.69,608762900,14321193000000.0,53125703,2068602000000.0,661888603,16389795000000.0,4590236550264540.0
01/04/2021,1191.44,1194.59,1216.1,1217.26,1192.83,24.66,2.07,637059200,15281347000000.0,35775467,1668230000000.0,672834667,16949577000000.0,4558306731144250.0
31/03/2021,1186.36,1187.44,1191.44,1196.45,1186.4,5.08,0.43,670504300,13023790000000.0,32578706,1585272000000.0,703083006,14609062000000.0,4464934497747090.5
30/03/2021,1175.68,1179.64,1186.36,1187.29,1172.85,10.68,0.91,707543000,14532397000000.0,73187653,2415681000000.0,780730653,16948078000000.0,4445630204182239.5
29/03/2021,1162.21,1169.65,1175.68,1175.77,1165.78,13.47,1.16,592790900,12189884000000.0,68158837,2320034000000.0,660949737,14509918000000.0,4404013910857119.5
26/03/2021,1163.1,1162.71,1162.21,1165.76,1137.9,-0.89,-0.08,630516500,14194277000000.0,39947969,1420215000000.0,670464469,15614492000000.0,4353415672943470.0
25/03/2021,1161.81,1164.41,1163.1,1170.76,1154.44,1.29,0.11,613916000,13531039000000.0,76813969,3903091000000.0,690729969,17434130000000.0,4356439404437000.5
