Ngày,Mở cửa,Đóng cửa,Thay đổi,% Thay đổi,Khối lượng GD Khớp lệnh,Giá trị GD Khớp lệnh,Khối lượng GD Thỏa thuận,Giá trị GD Thoả thuận,Tổng khối lượng GD,Tổng giá trị GD
11/06/2021,10.25,10.25,0.0,0.0,12800.0,130000000.0,0.0,0.0,1280.0,130259999.99999999
10/06/2021,9.98,10.25,0.25,2.5,50400.0,500000000.0,0.0,0.0,5040.0,503560000.0
09/06/2021,10.0,10.0,-0.2,-1.96,35100.0,350000000.0,0.0,0.0,3510.0,346620000.0
08/06/2021,10.2,10.2,-0.05,-0.49,61800.0,620000000.0,200000.0,2100000000.0,6180.0,2722360000.0
07/06/2021,10.3,10.25,-0.05,-0.49,24400.0,250000000.0,0.0,0.0,2440.0,250039999.99999997
04/06/2021,10.2,10.3,0.0,0.0,23900.0,240000000.0,0.0,0.0,2390.0,244240000.0
03/06/2021,10.2,10.3,0.1,0.98,20400.0,210000000.0,200000.0,2100000000.0,2040.0,2308230000.0
02/06/2021,10.1,10.2,0.1,0.99,27400.0,280000000.0,0.0,0.0,2740.0,277230000.0
01/06/2021,10.4,10.1,-0.3,-2.88,13700.0,140000000.0,0.0,0.0,1370.0,139760000.0
31/05/2021,10.7,10.4,-0.3,-2.8,3500.0,40000000.0,0.0,0.0,350.0,36300000.0
28/05/2021,10.9,10.7,-0.2,-1.83,4700.0,50000000.0,0.0,0.0,470.0,49570000.0
27/05/2021,11.0,10.9,-0.1,-0.91,54800.0,590000000.0,0.0,0.0,5480.0,594560000.0
26/05/2021,11.0,11.0,0.0,0.0,32400.0,350000000.0,0.0,0.0,3240.0,347440000.0
25/05/2021,10.7,11.0,-0.2,-1.79,59400.0,650000000.0,0.0,0.0,5940.0,650000000.0
24/05/2021,11.4,11.2,-0.2,-1.75,1700.0,20000000.0,0.0,0.0,170.0,19170000.0
21/05/2021,11.3,11.4,0.1,0.88,1900.0,20000000.0,0.0,0.0,190.0,21770000.0
20/05/2021,11.8,11.3,-0.5,-4.24,900.0,10000000.0,0.0,0.0,90.0,10410000.0
19/05/2021,11.8,11.2,-0.6,-5.08,3700.0,40000000.0,0.0,0.0,150.0,41760000.0
