Ngày,Mở cửa,Đóng cửa,Thay đổi,% Thay đổi,Khối lượng GD Khớp lệnh,Giá trị GD Khớp lệnh,Khối lượng GD Thỏa thuận,Giá trị GD Thoả thuận,Tổng khối lượng GD,Tổng giá trị GD
11/06/2021,27.05,28.5,1.5,5.56,1465900.0,40350000000.0,275000.0,7700000000.0,146590.0,48047380000.0
10/06/2021,27.3,27.0,-0.35,-1.28,648800.0,17530000000.0,1168000.0,31804600000.0,64880.0,49333260000.0
09/06/2021,27.1,27.35,0.25,0.92,1021800.0,27810000000.0,24000.0,624000000.0,102180.0,28435330000.0
08/06/2021,27.2,27.1,0.5,1.88,1617100.0,44150000000.0,0.0,0.0,161710.0,44154900000.0
07/06/2021,26.6,26.6,0.0,0.0,1276500.0,33799999999.999996,1330000.0,35219850000.0,127650.0,69022750000.0
04/06/2021,26.5,26.6,-0.4,-1.48,863700.0,22930000000.0,286000.0,7572000000.0,86370.0,30504640000.0
03/06/2021,27.4,27.0,-0.4,-1.46,1146200.0,30970000000.0,0.0,0.0,114620.0,30965980000.0
02/06/2021,25.7,27.4,1.75,6.82,1603400.0,41810000000.0,1330000.0,35383550000.0,160340.0,77195100000.0
01/06/2021,25.8,25.65,-0.2,-0.77,750100.0,19330000000.0,286000.0,7716500000.0,75010.0,27050960000.0
31/05/2021,26.0,25.85,-0.35,-1.34,707200.0,18290000000.0,0.0,0.0,70720.0,18293290000.0
28/05/2021,26.1,26.2,0.1,0.38,493800.0,12940000000.0,795000.0,21387500000.0,49380.0,34323390000.000004
27/05/2021,26.4,26.1,-0.4,-1.51,572900.0,15040000000.0,821000.0,22141250000.0,57290.0,37176470000.0
26/05/2021,26.7,26.5,-0.2,-0.75,625600.0,16579999999.999998,0.0,0.0,62560.0,16575730000.0
25/05/2021,26.95,26.7,-0.25,-0.93,579300.0,15530000000.0,795000.0,20896500000.0,57930.0,36427500000.0
24/05/2021,26.75,26.95,0.2,0.75,631600.0,17120000000.000002,821000.0,22367500000.0,63160.0,39484570000.0
21/05/2021,25.5,26.75,0.85,3.28,1103900.0,28730000000.0,0.0,0.0,110390.0,28733900000.0
20/05/2021,26.1,25.9,-0.8,-3.0,1289500.0,33680000000.0,815000.0,21656100000.0,128950.0,55341050000.0
19/05/2021,27.6,26.95,-0.15,-0.55,698600.0,18800000000.0,821000.0,22787500000.0,30170.0,41582820000.0
18/05/2021,27.35,27.1,-0.25,-0.91,555900.0,15120000000.0,0.0,0.0,55590.0,15118310000.0
17/05/2021,27.5,27.35,0.05,0.18,468800.0,12870000000.0,523000.0,14698300000.0,46880.0,27566780000.0
