Ngày,Mở cửa,Đóng cửa,Thay đổi,% Thay đổi,Khối lượng GD Khớp lệnh,Giá trị GD Khớp lệnh,Khối lượng GD Thỏa thuận,Giá trị GD Thoả thuận,Tổng khối lượng GD,Tổng giá trị GD
11/06/2021,117.0,118.0,1.5,1.29,1729000.0,202500000000.0,0.0,0.0,172900.0,202504680000.0
10/06/2021,118.5,116.5,-2.3,-1.94,2929000.0,344780000000.0,20000.0,2500000000.0,292900.0,347276390000.0
09/06/2021,120.0,118.8,-1.0,-0.83,1813300.0,216270000000.0,200000.0,23853800000.0,181330.0,240124560000.0
08/06/2021,124.9,119.8,-3.2,-2.6,2699600.0,333470000000.0,300000.0,36693000000.0,269960.0,370160940000.0
07/06/2021,122.8,123.0,2.0,1.65,3681800.0,457010000000.0,0.0,0.0,368180.0,457005040000.0
04/06/2021,118.5,121.0,2.5,2.11,3689200.0,443020000000.0,0.0,0.0,368920.0,443019400000.0
03/06/2021,118.0,118.5,1.0,0.85,2488900.0,293090000000.0,122400.0,14462500000.0,248890.0,307553560000.0
02/06/2021,120.2,117.5,-2.5,-2.08,3130600.0,375140000000.0,0.0,0.0,313060.0,375139920000.0
01/06/2021,116.2,120.0,2.5,2.13,2155400.0,254140000000.0,0.0,0.0,215540.0,254142560000.0
31/05/2021,119.8,117.5,-2.3,-1.92,1846800.0,216660000000.0,295000.0,34314990000.0,184680.0,250975460000.0
28/05/2021,120.1,119.8,-0.5,-0.42,1847400.0,224440000000.0,0.0,0.0,184740.0,224443590000.0
27/05/2021,120.9,120.3,-1.4,-1.15,2081300.0,249870000000.0,405000.0,48721500000.0,208130.0,298586900000.0
26/05/2021,122.0,121.7,-0.6,-0.49,1677500.0,203620000000.0,0.0,0.0,167750.0,203621180000.0
25/05/2021,122.4,122.3,0.2,0.16,1514900.0,184300000000.0,0.0,0.0,151490.0,184302000000.0
24/05/2021,122.5,122.1,-0.4,-0.33,1985800.0,243100000000.0,0.0,0.0,198580.0,243098170000.0
21/05/2021,123.0,122.5,-0.4,-0.33,1622400.0,197120000000.0,38750.0,4650000000.0,162240.0,201767690000.0
20/05/2021,120.1,122.9,2.8,2.33,2084900.0,253680000000.0,0.0,0.0,208490.0,253682500000.0
19/05/2021,120.0,119.1,-1.9,-1.57,2178400.0,259730000000.00003,0.0,0.0,124170.0,259729150000.0
18/05/2021,124.0,121.0,-3.0,-2.42,2452700.0,302560000000.0,0.0,0.0,245270.0,302555640000.0
17/05/2021,126.0,124.0,-1.3,-1.04,2417900.0,305470000000.0,0.0,0.0,241790.0,305474510000.0
