Ngày,Mở cửa,Đóng cửa,Thay đổi,% Thay đổi,Khối lượng GD Khớp lệnh,Giá trị GD Khớp lệnh,Khối lượng GD Thỏa thuận,Giá trị GD Thoả thuận,Tổng khối lượng GD,Tổng giá trị GD
11/06/2021,5.69,6.08,0.39,6.85,9500.0,60000000.0,0.0,0.0,950.0,56490000.0
10/06/2021,6.1,5.69,-0.41,-6.72,3000.0,20000000.0,0.0,0.0,300.0,17260000.0
09/06/2021,6.0,6.1,-0.05,-0.81,7700.0,50000000.0,0.0,0.0,770.0,46280000.0
08/06/2021,6.3,6.15,-0.15,-2.38,23200.0,140000000.0,0.0,0.0,2320.0,144530000.0
07/06/2021,6.4,6.3,-0.1,-1.56,700.0,0.0,0.0,0.0,70.0,4460000.0
04/06/2021,6.5,6.4,0.1,1.59,8700.0,60000000.0,0.0,0.0,870.0,56130000.0
03/06/2021,6.2,6.3,0.1,1.61,26700.0,160000000.0,0.0,0.0,2670.0,162870000.0
02/06/2021,6.2,6.2,0.0,0.0,21100.0,120000000.0,0.0,0.0,2110.0,124980000.0
01/06/2021,6.06,6.2,-0.3,-4.62,10700.0,70000000.0,0.0,0.0,1070.0,66129999.99999999
31/05/2021,6.5,6.5,0.0,0.0,14200.0,90000000.0,0.0,0.0,1420.0,86740000.0
28/05/2021,6.6,6.5,-0.1,-1.52,17600.0,110000000.0,0.0,0.0,1760.0,108960000.0
27/05/2021,7.06,6.6,0.0,0.0,9400.0,70000000.0,0.0,0.0,940.0,65129999.99999999
26/05/2021,6.2,6.6,0.4,6.45,40000.0,250000000.0,0.0,0.0,4000.0,253990000.0
25/05/2021,6.2,6.2,0.0,0.0,3200.0,20000000.0,0.0,0.0,320.0,19000000.0
24/05/2021,6.2,6.2,0.0,0.0,34800.0,210000000.0,0.0,0.0,3480.0,206030000.0
21/05/2021,6.2,6.2,0.0,0.0,15400.0,90000000.0,0.0,0.0,1540.0,93070000.0
20/05/2021,6.47,6.2,-0.27,-4.17,7300.0,40000000.0,0.0,0.0,730.0,44700000.0
19/05/2021,6.47,6.83,0.36,5.56,7900.0,50000000.0,0.0,0.0,320.0,52500000.0
18/05/2021,6.95,6.47,-0.48,-6.91,15800.0,100000000.0,0.0,0.0,1580.0,102790000.0
17/05/2021,7.3,6.95,-0.35,-4.79,23500.0,160000000.0,0.0,0.0,2350.0,160680000.0
14/05/2021,7.35,7.3,-0.05,-0.68,7300.0,50000000.0,0.0,0.0,730.0,51090000.0
13/05/2021,7.45,7.35,-0.1,-1.34,37300.0,270000000.0,0.0,0.0,3730.0,266780000.00000003
12/05/2021,6.5,7.45,0.47,6.73,60400.0,400000000.0,0.0,0.0,6040.0,401210000.0
11/05/2021,7.5,6.98,-0.52,-6.93,48100.0,340000000.0,0.0,0.0,4810.0,335860000.0
10/05/2021,7.26,7.5,-0.3,-3.85,39500.0,290000000.0,0.0,0.0,3950.0,287270000.0
07/05/2021,8.0,7.8,-0.2,-2.5,30400.0,240000000.0,0.0,0.0,3040.0,235740000.0
06/05/2021,8.4,8.0,-0.4,-4.76,27500.0,220000000.0,0.0,0.0,2750.0,220330000.0
05/05/2021,8.85,8.4,-0.45,-5.08,13000.0,110000000.0,0.0,0.0,1300.0,112760000.0
04/05/2021,8.56,8.85,-0.15,-1.67,46400.0,390000000.0,0.0,0.0,4640.0,389940000.0
29/04/2021,8.1,9.0,0.44,5.14,30200.0,260000000.0,0.0,0.0,3020.0,261660000.0
28/04/2021,8.56,8.56,-0.64,-6.96,35500.0,320000000.0,0.0,0.0,3550.0,316860000.0
27/04/2021,9.4,9.2,0.41,4.66,38400.0,340000000.0,0.0,0.0,3840.0,341640000.0
26/04/2021,7.66,8.79,0.57,6.93,66900.0,570000000.0,0.0,0.0,6690.0,574350000.0
23/04/2021,8.7,8.22,-0.44,-5.08,62000.0,530000000.0,0.0,0.0,6200.0,531830000.0
22/04/2021,9.35,8.66,-0.64,-6.88,34500.0,310000000.0,0.0,0.0,3450.0,305270000.0
20/04/2021,9.3,9.3,0.0,0.0,45000.0,400000000.0,0.0,0.0,4500.0,399360000.0
19/04/2021,9.3,9.3,0.2,2.2,186800.0,1630000000.0,0.0,0.0,18680.0,1626420000.0
16/04/2021,9.0,9.1,0.1,1.11,103300.0,970000000.0,0.0,0.0,10330.0,967850000.0
15/04/2021,9.12,9.0,-0.12,-1.32,153100.0,1380000000.0,0.0,0.0,15310.0,1382050000.0
14/04/2021,9.36,9.12,0.37,4.23,116800.0,1040000000.0,0.0,0.0,11680.0,1038170000.0
13/04/2021,8.75,8.75,0.57,6.97,89200.0,780000000.0,0.0,0.0,8920.0,780500000.0
12/04/2021,8.18,8.18,0.53,6.93,45000.0,370000000.0,0.0,0.0,4500.0,368100000.0
09/04/2021,7.2,7.65,0.5,6.99,172300.0,1280000000.0,0.0,0.0,17230.0,1284610000.0
08/04/2021,7.1,7.15,0.05,0.7,88700.0,640000000.0,0.0,0.0,8870.0,636780000.0
07/04/2021,6.65,7.1,0.0,0.0,67800.0,470000000.0,0.0,0.0,6780.0,474150000.0
06/04/2021,7.1,7.1,0.0,0.0,116400.0,850000000.0,0.0,0.0,11640.0,845090000.0
05/04/2021,7.4,7.1,-0.1,-1.39,123500.0,900000000.0,0.0,0.0,12350.0,895450000.0
02/04/2021,7.2,7.2,0.02,0.28,99900.0,730000000.0,0.0,0.0,9990.0,725700000.0
01/04/2021,7.01,7.18,0.17,2.43,86500.0,610000000.0,0.0,0.0,8650.0,612900000.0
31/03/2021,7.49,7.01,-0.48,-6.41,74800.0,530000000.0,0.0,0.0,7480.0,527150000.0
30/03/2021,7.5,7.49,0.37,5.2,142500.0,1060000000.0,0.0,0.0,14250.0,1059430000.0000001
29/03/2021,6.66,7.12,0.46,6.91,174500.0,1120000000.0,0.0,0.0,16870.0,1124880000.0
26/03/2021,6.67,6.66,-0.5,-6.98,105300.0,710000000.0,0.0,0.0,10530.0,706920000.0
25/03/2021,7.66,7.16,0.0,0.0,369700.0,2670000000.0,0.0,0.0,36970.0,2673090000.0
24/03/2021,7.16,7.16,0.46,6.87,42100.0,300000000.0,0.0,0.0,4210.0,301440000.0
23/03/2021,6.7,6.7,0.43,6.86,32100.0,220000000.0,0.0,0.0,3210.0,215070000.0
22/03/2021,6.27,6.27,0.41,7.0,34100.0,210000000.0,0.0,0.0,3410.0,213810000.0
19/03/2021,5.86,5.86,0.38,6.93,159000.0,930000000.0,0.0,0.0,15900.0,931740000.0
18/03/2021,5.48,5.48,0.35,6.82,58100.0,320000000.0,0.0,0.0,5810.0,318390000.0
17/03/2021,4.8,5.13,0.33,6.88,77500.0,390000000.0,0.0,0.0,7750.0,394830000.0
16/03/2021,5.48,5.48,0.35,6.82,232500.0,1210000000.0,0.0,0.0,10250.0,1206660000.0
15/03/2021,5.13,5.13,0.33,6.88,175300.0,900000000.0,0.0,0.0,17530.0,899290000.0
12/03/2021,4.8,4.8,0.31,6.9,87400.0,420000000.0,0.0,0.0,8740.0,419520000.0
11/03/2021,4.49,4.49,0.29,6.9,73100.0,330000000.0,0.0,0.0,7310.0,328220000.0
10/03/2021,4.2,4.2,0.27,6.87,133900.0,560000000.0,0.0,0.0,13390.0,562370000.0
09/03/2021,3.68,3.93,0.25,6.79,129700.0,510000000.0,0.0,0.0,12970.0,505710000.0
08/03/2021,3.6,3.68,0.0,0.0,25100.0,90000000.0,0.0,0.0,2510.0,88710000.0
05/03/2021,3.5,3.68,-0.07,-1.87,30700.0,110000000.0,0.0,0.0,3070.0,112650000.0
04/03/2021,3.85,3.75,0.05,1.35,18200.0,70000000.0,0.0,0.0,1820.0,67730000.0
03/03/2021,3.79,3.7,-0.09,-2.37,20700.0,80000000.0,0.0,0.0,2070.0,78110000.0
02/03/2021,3.81,3.79,0.22,6.16,44900.0,170000000.0,0.0,0.0,4490.0,169250000.0
01/03/2021,3.34,3.57,0.23,6.89,8400.0,30000000.0,0.0,0.0,840.0,29940000.0
26/02/2021,3.34,3.34,-0.01,-0.3,16800.0,50000000.0,0.0,0.0,1680.0,53840000.0
25/02/2021,3.54,3.35,-0.19,-5.37,81000.0,270000000.0,0.0,0.0,8100.0,272410000.0
24/02/2021,3.8,3.54,-0.26,-6.84,60600.0,220000000.0,0.0,0.0,6060.0,216270000.0
23/02/2021,3.9,3.8,-0.1,-2.56,33900.0,130000000.0,0.0,0.0,3390.0,129880000.0
22/02/2021,3.66,3.9,0.24,6.56,47800.0,180000000.0,0.0,0.0,4780.0,184930000.0
19/02/2021,3.67,3.66,0.23,6.71,58800.0,210000000.0,0.0,0.0,5880.0,209110000.0
18/02/2021,3.4,3.43,0.22,6.85,43400.0,150000000.0,0.0,0.0,4340.0,148820000.0
17/02/2021,3.05,3.21,0.21,7.0,23500.0,70000000.0,0.0,0.0,2350.0,74870000.0
09/02/2021,2.87,3.0,0.13,4.53,16600.0,50000000.0,0.0,0.0,1660.0,48090000.0
08/02/2021,3.11,2.87,-0.21,-6.82,21200.0,60000000.0,0.0,0.0,2120.0,62920000.0
05/02/2021,2.88,3.08,0.2,6.94,1240.0,0.0,0.0,0.0,1240.0,0.0
04/02/2021,2.52,2.88,0.18,6.67,37100.0,100000000.0,0.0,0.0,3710.0,99610000.0
03/02/2021,2.7,2.7,-0.2,-6.9,21900.0,60000000.0,0.0,0.0,2190.0,59130000.0
02/02/2021,3.11,2.9,-0.21,-6.75,11800.0,30000000.0,0.0,0.0,1180.0,34390000.0
01/02/2021,3.34,3.11,-0.23,-6.89,35400.0,110000000.0,0.0,0.0,3540.0,112160000.0
