Ngày,Mở cửa,Đóng cửa,Thay đổi,% Thay đổi,Khối lượng GD Khớp lệnh,Giá trị GD Khớp lệnh,Khối lượng GD Thỏa thuận,Giá trị GD Thoả thuận,Tổng khối lượng GD,Tổng giá trị GD
11/06/2021,17.0,18.85,0.9,5.01,33800.0,630000000.0,0.0,0.0,3380.0,625100000.0
10/06/2021,17.7,17.95,-0.7,-3.75,20800.0,370000000.0,0.0,0.0,2080.0,371930000.0
09/06/2021,17.5,18.65,0.15,0.81,26700.0,480000000.0,0.0,0.0,2670.0,479330000.0
08/06/2021,21.1,18.5,-1.25,-6.33,90400.0,1870000000.0,0.0,0.0,9040.0,1868640000.0
07/06/2021,19.75,19.75,1.25,6.76,30900.0,610000000.0,0.0,0.0,3090.0,610280000.0
04/06/2021,18.5,18.5,1.2,6.94,33700.0,620000000.0,0.0,0.0,3370.0,623450000.0
03/06/2021,16.7,17.3,1.1,6.79,52100.0,890000000.0,0.0,0.0,5210.0,891630000.0
02/06/2021,16.6,16.2,-0.4,-2.41,10400.0,170000000.0,0.0,0.0,1040.0,172330000.0
01/06/2021,16.7,16.6,-0.1,-0.6,7100.0,120000000.0,0.0,0.0,710.0,117170000.0
31/05/2021,16.9,16.7,0.4,2.45,18900.0,310000000.0,0.0,0.0,1890.0,311510000.0
28/05/2021,16.3,16.3,0.0,0.0,37500.0,610000000.0,0.0,0.0,3750.0,606600000.0
27/05/2021,16.6,16.3,-0.3,-1.81,10000.0,160000000.0,0.0,0.0,1000.0,164620000.0
26/05/2021,16.8,16.6,-0.2,-1.19,28500.0,480000000.0,0.0,0.0,2850.0,476090000.0
25/05/2021,17.05,16.8,-0.25,-1.47,22300.0,380000000.0,0.0,0.0,2230.0,381000000.0
24/05/2021,17.2,17.05,-0.15,-0.87,17100.0,290000000.0,0.0,0.0,1710.0,294420000.0
21/05/2021,16.8,17.2,-0.2,-1.15,11500.0,200000000.0,0.0,0.0,1150.0,195480000.0
20/05/2021,17.2,17.4,-0.6,-3.33,15500.0,270000000.0,0.0,0.0,1550.0,270000000.0
19/05/2021,18.35,17.8,0.0,0.0,16100.0,290000000.0,0.0,0.0,1270.0,287330000.0
18/05/2021,17.85,17.8,-0.2,-1.11,28900.0,520000000.0,0.0,0.0,2890.0,517860000.0
17/05/2021,17.8,18.0,-0.4,-2.17,23300.0,420000000.0,0.0,0.0,2330.0,420900000.0
14/05/2021,18.6,18.4,0.25,1.38,19100.0,350000000.0,0.0,0.0,1910.0,352320000.0
13/05/2021,18.0,18.15,-0.35,-1.89,6300.0,110000000.0,0.0,0.0,630.0,114750000.0
12/05/2021,18.0,18.5,0.5,2.78,9900.0,180000000.0,0.0,0.0,990.0,183480000.0
11/05/2021,17.5,18.0,-0.5,-2.7,26300.0,470000000.0,0.0,0.0,2630.0,472420000.0
10/05/2021,18.0,18.5,-0.3,-1.6,24900.0,450000000.0,0.0,0.0,2490.0,452690000.0
07/05/2021,19.25,18.8,-1.05,-5.29,47400.0,900000000.0,0.0,0.0,4740.0,900710000.0
06/05/2021,19.75,19.85,-0.8,-3.87,21900.0,440000000.0,0.0,0.0,2190.0,436430000.0
05/05/2021,20.8,20.65,-0.05,-0.24,53100.0,1090000000.0,0.0,0.0,5310.0,1092370000.0
04/05/2021,20.8,20.7,-0.1,-0.48,44900.0,900000000.0,0.0,0.0,4490.0,900420000.0
