Ngày,Mở cửa,Đóng cửa,Thay đổi,% Thay đổi,Khối lượng GD Khớp lệnh,Giá trị GD Khớp lệnh,Khối lượng GD Thỏa thuận,Giá trị GD Thoả thuận,Tổng khối lượng GD,Tổng giá trị GD
11/06/2021,55.4,58.4,3.8,6.96,20800.0,1190000000.0,0.0,0.0,2080.0,1186400000.0
10/06/2021,53.2,54.6,1.7,3.21,12300.0,660000000.0,0.0,0.0,1230.0,664990000.0
09/06/2021,52.9,52.9,0.0,0.0,5800.0,300000000.0,0.0,0.0,580.0,297820000.0
08/06/2021,52.1,52.9,0.8,1.54,6700.0,350000000.0,0.0,0.0,670.0,346340000.0
07/06/2021,52.5,52.1,-0.9,-1.7,6000.0,310000000.0,0.0,0.0,600.0,314120000.0
04/06/2021,53.0,53.0,0.0,0.0,3500.0,180000000.0,0.0,0.0,350.0,184870000.0
03/06/2021,50.7,53.0,1.0,1.92,6000.0,310000000.0,0.0,0.0,600.0,308280000.0
02/06/2021,52.0,52.0,0.0,0.0,5500.0,290000000.0,0.0,0.0,550.0,288600000.0
01/06/2021,51.5,52.0,1.6,3.17,2100.0,110000000.0,0.0,0.0,210.0,108450000.0
31/05/2021,51.0,50.4,-0.6,-1.18,4400.0,220000000.0,0.0,0.0,440.0,223820000.0
28/05/2021,49.0,51.0,2.0,4.08,3300.0,170000000.0,0.0,0.0,330.0,166700000.0
27/05/2021,52.5,49.0,-3.5,-6.67,8300.0,410000000.0,0.0,0.0,830.0,413780000.0
26/05/2021,52.5,52.5,0.0,0.0,7200.0,370000000.0,0.0,0.0,720.0,366500000.0
25/05/2021,52.5,52.5,0.0,0.0,6400.0,340000000.0,0.0,0.0,640.0,336000000.0
24/05/2021,52.0,52.5,0.5,0.96,2100.0,110000000.0,0.0,0.0,210.0,109500000.0
21/05/2021,52.6,52.0,-0.6,-1.14,4800.0,250000000.0,0.0,0.0,480.0,251460000.00000003
20/05/2021,53.5,52.6,-0.9,-1.68,6100.0,320000000.0,0.0,0.0,610.0,323060000.0
19/05/2021,53.5,53.5,-0.5,-0.93,2900.0,160000000.0,0.0,0.0,280.0,155150000.0
