Ngày,Mở cửa,Đóng cửa,Thay đổi,% Thay đổi,Khối lượng GD Khớp lệnh,Giá trị GD Khớp lệnh,Khối lượng GD Thỏa thuận,Giá trị GD Thoả thuận,Tổng khối lượng GD,Tổng giá trị GD
11/06/2021,21.4,21.8,0.4,1.87,63300.0,1370000000.0,0.0,0.0,6330.0,1369760000.0
10/06/2021,22.1,21.4,-0.7,-3.17,56300.0,1210000000.0,0.0,0.0,5630.0,1205190000.0
09/06/2021,22.7,22.1,-0.6,-2.64,83000.0,1850000000.0,0.0,0.0,8300.0,1849340000.0
08/06/2021,23.0,22.7,1.2,5.58,268400.0,6140000000.0,0.0,0.0,26840.0,6140790000.0
07/06/2021,21.0,21.5,0.75,3.61,164700.0,3490000000.0,0.0,0.0,16470.0,3490390000.0
04/06/2021,20.65,20.75,0.1,0.48,97200.0,2020000000.0,0.0,0.0,9720.0,2016740000.0
03/06/2021,20.1,20.65,0.55,2.74,272500.0,5490000000.0,0.0,0.0,27250.0,5491550000.0
02/06/2021,20.15,20.1,-0.05,-0.25,104000.0,2080000000.0,0.0,0.0,10400.0,2083470000.0000002
01/06/2021,20.1,20.15,-0.2,-0.98,46600.0,940000000.0,0.0,0.0,4660.0,941250000.0
31/05/2021,20.0,20.35,-0.45,-2.16,97700.0,1990000000.0,0.0,0.0,9770.0,1992140000.0
28/05/2021,20.3,20.8,-0.05,-0.24,50400.0,1040000000.0,0.0,0.0,5040.0,1044240000.0
27/05/2021,21.5,20.85,-0.6,-2.8,54900.0,1160000000.0,0.0,0.0,5490.0,1155050000.0
26/05/2021,21.0,21.45,0.85,4.13,80000.0,1670000000.0,0.0,0.0,8000.0,1667140000.0
25/05/2021,21.4,20.6,-0.8,-3.74,86200.0,1810000000.0,0.0,0.0,8620.0,1806900000.0
24/05/2021,20.6,21.4,-0.4,-1.83,179400.0,3870000000.0,0.0,0.0,17940.0,3870140000.0
21/05/2021,20.45,21.8,1.4,6.86,136200.0,2910000000.0,0.0,0.0,13620.0,2907810000.0
20/05/2021,20.4,20.4,0.0,0.0,75700.0,1550000000.0,0.0,0.0,7570.0,1550630000.0
19/05/2021,21.9,20.6,-1.3,-5.94,520300.0,10720000000.0,0.0,0.0,16310.0,10721550000.0
18/05/2021,22.2,21.9,-0.3,-1.35,64800.0,1420000000.0,0.0,0.0,6480.0,1424810000.0
17/05/2021,22.2,22.2,0.15,0.68,73600.0,1630000000.0,0.0,0.0,7360.0,1630370000.0
14/05/2021,22.45,22.05,-0.2,-0.9,127600.0,2820000000.0,0.0,0.0,12760.0,2818010000.0
13/05/2021,22.2,22.25,-0.2,-0.89,74700.0,1670000000.0,0.0,0.0,7470.0,1667000000.0
12/05/2021,22.0,22.45,0.0,0.0,52700.0,1170000000.0,0.0,0.0,5270.0,1167330000.0
11/05/2021,21.55,22.45,0.65,2.98,100600.0,2210000000.0,0.0,0.0,10060.0,2205830000.0
10/05/2021,22.1,21.8,-0.7,-3.11,131700.0,2860000000.0,0.0,0.0,13170.0,2860560000.0
07/05/2021,22.45,22.5,-0.4,-1.75,96200.0,2170000000.0,0.0,0.0,9620.0,2173760000.0
