Ngày,Mở cửa,Đóng cửa,Thay đổi,% Thay đổi,Khối lượng GD Khớp lệnh,Giá trị GD Khớp lệnh,Khối lượng GD Thỏa thuận,Giá trị GD Thoả thuận,Tổng khối lượng GD,Tổng giá trị GD
11/06/2021,81.5,83.5,1.6,1.95,2359600.0,196390000000.0,80000.0,7008000000.0,235960.0,203394980000.0
10/06/2021,81.7,81.9,0.2,0.24,2214900.0,180830000000.0,363656.0,31783530000.0,221490.0,212611340000.0
09/06/2021,80.6,81.7,0.9,1.11,3576100.0,287790000000.0,26000.0,2246400000.0,357610.0,290040240000.0
08/06/2021,82.0,80.8,-1.9,-2.3,3486000.0,285120000000.0,1400000.0,123760000000.0,348600.0,408875520000.0
07/06/2021,84.6,82.7,-2.0,-2.36,3711200.0,308400000000.0,558600.0,50609160000.0,371120.0,359005900000.0
04/06/2021,85.0,84.7,-0.5,-0.59,3820600.0,322170000000.0,2125000.0,192182500000.0,382060.0,514354410000.0
03/06/2021,85.0,85.2,-0.3,-0.35,3190800.0,270399999999.99997,1304970.0,119274260000.0,319080.0,389672680000.0
02/06/2021,87.1,85.5,-1.6,-1.84,3053900.0,263630000000.0,2186105.0,203526380000.0,305390.0,467156960000.0
01/06/2021,87.9,87.1,-10.8,-11.03,3495000.0,306310000000.0,0.0,0.0,349500.0,306310890000.0
31/05/2021,95.5,97.9,3.1,3.27,3237700.0,309700000000.0,1184106.0,119381950000.0,323770.0,429081530000.0
28/05/2021,94.0,94.8,1.0,1.07,1874300.0,176780000000.0,0.0,0.0,187430.0,176777180000.0
27/05/2021,95.3,93.8,-1.5,-1.57,1745800.0,165310000000.0,1229124.0,125247740000.0,174580.0,290562380000.0
26/05/2021,94.2,95.3,1.5,1.6,1992800.0,188700000000.0,105000.0,10531500000.0,199280.0,199233800000.0
25/05/2021,93.5,93.8,0.3,0.32,2156300.0,201920000000.0,76000.0,6688000000.0,215630.0,208605000000.0
24/05/2021,93.8,93.5,-0.3,-0.32,2669500.0,247800000000.0,1010621.0,98174570000.0,266950.0,345971930000.0
21/05/2021,94.3,93.8,-1.7,-1.78,3222700.0,305930000000.0,3684700.0,376057870000.0,322270.0,681985690000.0
20/05/2021,90.8,95.5,4.7,5.18,3523900.0,324420000000.0,601732.0,58428180000.0,352390.0,382849610000.0
19/05/2021,87.5,88.2,1.2,1.38,2876300.0,254760000000.0,47800.0,4306400000.0,136330.0,259071120000.0
18/05/2021,86.4,87.0,1.3,1.52,2133500.0,185550000000.0,147800.0,13379480000.0,213350.0,198932720000.0
17/05/2021,85.8,85.7,0.9,1.06,1744500.0,149840000000.0,2744900.0,246842760000.0,174450.0,396686570000.0
14/05/2021,84.3,84.8,0.8,0.95,1858700.0,158310000000.0,50000.0,4490000000.0,185870.0,162795610000.0
13/05/2021,85.0,84.0,-1.4,-1.64,2558300.0,216920000000.0,230900.0,20963170000.0,255830.0,237880670000.0
12/05/2021,85.0,85.4,0.2,0.23,1844500.0,156550000000.0,20000.0,1822000000.0,184450.0,158372370000.0
11/05/2021,86.0,85.2,-0.6,-0.7,2078700.0,179200000000.0,205300.0,18846540000.0,207870.0,198050390000.0
10/05/2021,83.1,85.8,2.8,3.37,4504300.0,382110000000.0,77000.0,6837600000.0,450430.0,388946300000.0
07/05/2021,82.7,83.0,0.3,0.36,2705900.0,224720000000.0,45000.0,3978000000.0,270590.0,228695940000.0
06/05/2021,83.0,82.7,-0.2,-0.24,1969000.0,163170000000.0,0.0,0.0,196900.0,163166910000.0
05/05/2021,84.5,82.9,0.0,0.0,2321300.0,194340000000.0,25900.0,2297330000.0,232130.0,196637910000.0
04/05/2021,80.0,82.9,2.0,2.47,2362100.0,192830000000.0,1063600.0,80089080000.0,236210.0,272916780000.00003
29/04/2021,80.8,80.9,0.1,0.12,2095500.0,170000000000.0,133400.0,11525760000.0,209550.0,181525310000.0
28/04/2021,80.1,80.8,0.1,0.12,1366700.0,110470000000.0,360949.0,31149900000.0,136670.0,141622360000.0
27/04/2021,80.4,80.7,-0.3,-0.37,1287100.0,103900000000.0,525000.0,45465000000.0,128710.0,149361710000.0
26/04/2021,82.5,81.0,-2.0,-2.41,2551300.0,207960000000.0,565000.0,50172000000.0,255130.0,258128110000.0
23/04/2021,80.0,83.0,3.0,3.75,3166400.0,256829999999.99997,40000.0,3424000000.0,316640.0,260257700000.0
22/04/2021,82.0,80.0,-2.9,-3.5,2271200.0,187100000000.0,153000.0,13571100000.0,227120.0,200668210000.0
20/04/2021,81.8,82.9,1.4,1.72,4742800.0,395630000000.0,324960.0,28239270000.0,474280.0,423866950000.0
19/04/2021,80.0,81.5,1.8,2.26,2380800.0,192000000000.0,1169900.0,99675480000.0,238080.0,291671480000.0
16/04/2021,79.8,79.7,-0.3,-0.38,2194600.0,174890000000.0,401000.0,33972000000.0,219460.0,208857160000.0
15/04/2021,81.0,80.0,-1.0,-1.23,2096200.0,168480000000.0,984000.0,85108400000.0,209620.0,253589830000.0
14/04/2021,80.0,81.0,0.3,0.37,2530600.0,203020000000.0,0.0,0.0,253060.0,203016420000.0
13/04/2021,82.0,80.7,-1.4,-1.71,2038100.0,166080000000.0,1401200.0,122138160000.0,203810.0,288222190000.0
12/04/2021,82.4,82.1,0.0,0.0,2022500.0,165650000000.0,97000.0,8516600000.0,202250.0,174163870000.0
09/04/2021,79.9,82.1,2.5,3.14,3970400.0,324280000000.0,1014395.0,86253010000.0,397040.0,410533150000.0
08/04/2021,80.2,79.6,0.0,0.0,1609800.0,128740000000.00002,520000.0,44162000000.0,160980.0,172904460000.0
07/04/2021,79.2,79.6,0.2,0.25,1503800.0,119320000000.0,551800.0,46847820000.0,150380.0,166165290000.0
06/04/2021,79.1,79.4,-0.2,-0.25,1505800.0,119720000000.0,127000.0,10705700000.0,150580.0,130424090000.0
05/04/2021,80.4,79.6,-0.2,-0.25,1487000.0,118650000000.0,1270500.0,108373650000.0,148700.0,227023540000.0
02/04/2021,80.4,79.8,0.1,0.13,1950200.0,156310000000.0,41000.0,3296400000.0,195020.0,159604290000.0
01/04/2021,77.9,79.7,2.0,2.57,2500900.0,196980000000.0,650000.0,54015000000.0,250090.0,250998750000.0
31/03/2021,77.1,77.7,0.6,0.78,1373400.0,106330000000.0,46600.0,3839840000.0,137340.0,110168010000.0
30/03/2021,77.9,77.1,-0.5,-0.64,1512500.0,117030000000.0,200000.0,16600000000.000002,151250.0,133632320000.0
29/03/2021,76.5,76.5,0.4,0.53,1997700.0,153320000000.0,36965.0,2617120000.0,127930.0,155935860000.0
26/03/2021,76.2,76.1,-0.5,-0.65,2672600.0,202170000000.0,0.0,0.0,267260.0,202165800000.0
25/03/2021,77.5,76.6,-0.4,-0.52,2305400.0,177410000000.0,50000.0,4115000000.0,230540.0,181525020000.0
24/03/2021,77.9,77.0,-1.8,-2.28,2480100.0,192900000000.0,308400.0,25998120000.0,248010.0,218900580000.0
23/03/2021,78.5,78.8,0.1,0.13,2201700.0,173900000000.0,131500.0,11072300000.0,220170.0,184973730000.0
22/03/2021,79.5,78.7,-1.1,-1.38,2084800.0,164370000000.0,990000.0,73691000000.0,208480.0,238061980000.0
19/03/2021,80.0,79.8,-1.2,-1.48,2247800.0,179560000000.0,675700.0,58515620000.0,224780.0,238075090000.0
18/03/2021,81.0,81.0,0.2,0.25,1807500.0,145980000000.0,370000.0,31968000000.0,180750.0,177944760000.0
17/03/2021,81.5,80.8,-0.2,-0.25,1603200.0,129400000000.0,1963800.0,170065080000.0,160320.0,299464500000.0
16/03/2021,77.0,79.2,2.7,3.53,5111000.0,404800000000.0,60000.0,4702000000.0,323240.0,409500630000.0
15/03/2021,76.6,76.5,0.0,0.0,1760900.0,135310000000.0,40500.0,3312900000.0,176090.0,138620380000.0
12/03/2021,77.0,76.5,-0.2,-0.26,2062800.0,158250000000.0,0.0,0.0,206280.0,158247950000.0
11/03/2021,76.5,76.7,0.4,0.52,1477800.0,113280000000.0,523000.0,42664800000.0,147780.0,155941830000.0
10/03/2021,75.9,76.3,1.3,1.73,2602400.0,198900000000.0,55000.0,4411000000.0,260240.0,203311880000.0
09/03/2021,75.0,75.0,-0.8,-1.06,2182400.0,163670000000.0,1850000.0,150035000000.0,218240.0,313708020000.0
