Ngày,Mở cửa,Đóng cửa,Thay đổi,% Thay đổi,Khối lượng GD Khớp lệnh,Giá trị GD Khớp lệnh,Khối lượng GD Thỏa thuận,Giá trị GD Thoả thuận,Tổng khối lượng GD,Tổng giá trị GD
11/06/2021,12.9,12.9,0.0,0.0,14100.0,180000000.0,0.0,0.0,1410.0,182700000.0
10/06/2021,12.1,12.9,0.8,6.61,19600.0,240000000.0,0.0,0.0,1960.0,240650000.0
09/06/2021,12.1,12.1,0.0,0.0,39200.0,460000000.0,0.0,0.0,3920.0,457450000.0
08/06/2021,12.1,12.1,-0.9,-6.92,107100.0,1300000000.0,0.0,0.0,10710.0,1299750000.0
07/06/2021,13.95,13.0,-0.95,-6.81,21100.0,280000000.0,0.0,0.0,2110.0,276330000.0
04/06/2021,14.3,13.95,-0.05,-0.36,14600.0,200000000.0,0.0,0.0,1460.0,204870000.0
03/06/2021,14.05,14.0,0.85,6.46,53900.0,740000000.0,0.0,0.0,5390.0,736520000.0
02/06/2021,13.15,13.15,0.85,6.91,34300.0,450000000.0,0.0,0.0,3430.0,449530000.0
01/06/2021,11.8,12.3,0.5,4.24,7900.0,90000000.0,0.0,0.0,790.0,94270000.0
31/05/2021,11.1,11.8,-0.1,-0.84,17600.0,200000000.0,0.0,0.0,1760.0,196510000.0
28/05/2021,11.95,11.9,-0.85,-6.67,33100.0,390000000.0,0.0,0.0,3310.0,394130000.0
27/05/2021,13.7,12.75,-0.95,-6.93,28400.0,360000000.0,0.0,0.0,2840.0,364280000.0
26/05/2021,13.9,13.7,-0.2,-1.44,42500.0,560000000.0,0.0,0.0,4250.0,558220000.0
25/05/2021,14.0,13.9,0.4,2.96,7200.0,100000000.0,0.0,0.0,720.0,98000000.0
24/05/2021,14.6,13.5,-2.4,-15.09,40000.0,550000000.0,0.0,0.0,4000.0,553550000.0
21/05/2021,15.05,15.9,0.85,5.65,11400.0,170000000.0,0.0,0.0,1140.0,171880000.0
20/05/2021,16.15,15.05,-1.1,-6.81,26900.0,410000000.0,0.0,0.0,2690.0,405610000.0
19/05/2021,17.35,16.15,-1.2,-6.92,27000.0,440000000.0,0.0,0.0,1880.0,438920000.0
18/05/2021,18.65,17.35,-1.3,-6.97,21100.0,370000000.0,0.0,0.0,2110.0,373580000.0
17/05/2021,16.45,18.65,1.0,5.67,130800.0,2270000000.0,0.0,0.0,13080.0,2265040000.0
14/05/2021,17.65,17.65,-1.3,-6.86,6300.0,110000000.0,0.0,0.0,630.0,111200000.0
13/05/2021,18.95,18.95,-1.4,-6.88,2200.0,40000000.0,0.0,0.0,220.0,41690000.0
12/05/2021,21.85,20.35,-1.5,-6.86,300.0,10000000.0,0.0,0.0,30.0,6110000.0
11/05/2021,21.85,21.85,-1.6,-6.82,2200.0,50000000.0,0.0,0.0,220.0,48070000.0
10/05/2021,23.45,23.45,-1.75,-6.94,1300.0,30000000.0,0.0,0.0,130.0,30490000.0
07/05/2021,27.05,25.2,-1.85,-6.84,500.0,10000000.0,0.0,0.0,50.0,12600000.0
06/05/2021,27.05,27.05,-2.0,-6.88,3200.0,90000000.0,0.0,0.0,320.0,86560000.0
05/05/2021,29.05,29.05,-2.15,-6.89,5600.0,160000000.0,0.0,0.0,560.0,162680000.0
04/05/2021,35.8,31.2,-2.3,-6.87,33700.0,1100000000.0,0.0,0.0,3370.0,1096340000.0
29/04/2021,33.5,33.5,2.15,6.86,7900.0,260000000.0,0.0,0.0,790.0,264650000.0
28/04/2021,31.35,31.35,2.05,7.0,2000.0,60000000.0,0.0,0.0,200.0,62700000.00000001
