Ngày,Mở cửa,Đóng cửa,Thay đổi,% Thay đổi,Khối lượng GD Khớp lệnh,Giá trị GD Khớp lệnh,Khối lượng GD Thỏa thuận,Giá trị GD Thoả thuận,Tổng khối lượng GD,Tổng giá trị GD
29/04/2021,282.35,281.75,-0.32,-0.11,85159764.0,1711470000000.0,36258481.0,686140000000.0,121418245.0,2397600000000.0
28/04/2021,279.95,282.07,1.51,0.54,85772532.0,1705550000000.0,11154193.0,297730000000.0,96926725.0,2003280000000.0
27/04/2021,280.35,280.56,-0.12,-0.04,100361765.0,1674360000000.0,2050108.0,42090000000.0,102411873.0,1716440000000.0
26/04/2021,284.69,280.68,-2.95,-1.04,127927049.0,2307090000000.0,13899800.0,326700000000.0,141826849.0,2633780000000.0
23/04/2021,283.1,283.63,-3.4,-1.19,137591146.0,2361230000000.0,1306616.0,27880000000.0,138897762.0,2389120000000.0
22/04/2021,294.72,287.04,-9.44,-3.18,168423134.0,3286400000000.0,12034460.0,443540000000.0,180457594.0,3729940000000.0
20/04/2021,297.29,296.48,0.73,0.25,155994338.0,2836650000000.0,4429623.0,230130000000.0,160423961.0,3066780000000.0
19/04/2021,294.64,295.75,2.64,0.9,151356123.0,2627140000000.0,7410212.0,170440000000.0,158766335.0,2797580000000.0
16/04/2021,294.83,293.11,-3.01,-1.02,218553575.0,3576720000000.0,6476392.0,255030000000.0,225029967.0,3831740000000.0
15/04/2021,296.84,296.12,1.29,0.44,157389076.0,2872450000000.0,14651605.0,347800000000.0,172040681.0,3220250000000.0
14/04/2021,292.01,294.83,2.64,0.9,155331024.0,2545540000000.0,11723950.0,221940000000.0,167054974.0,2767470000000.0
13/04/2021,297.73,292.19,-3.35,-1.13,227435372.0,3913180000000.0,5149938.0,122390000000.0,232585310.0,4035570000000.0
12/04/2021,293.99,295.53,1.75,0.6,183188830.0,3092200000000.0,8586328.0,120390000000.0,191775158.0,3212590000000.0
09/04/2021,293.02,293.79,0.04,0.01,160773693.0,2758160000000.0,3721061.0,81190000000.0,164494754.0,2839340000000.0
08/04/2021,293.48,293.75,0.91,0.31,178358127.0,2917240000000.0,4940734.0,92010000000.0,183298861.0,3009250000000.0
07/04/2021,291.92,292.84,1.16,0.4,157636222.0,2752160000000.0,6335524.0,73010000000.0,163971746.0,2825170000000.0
06/04/2021,291.64,291.68,0.44,0.15,189576119.0,3488710000000.0,8457897.0,161930000000.0,198034016.0,3650640000000.0
