Ngày,Mở cửa,Đóng cửa,Thay đổi,% Thay đổi,Khối lượng GD Khớp lệnh,Giá trị GD Khớp lệnh,Khối lượng GD Thỏa thuận,Giá trị GD Thoả thuận,Tổng khối lượng GD,Tổng giá trị GD
29/04/2021,80.25,80.68,0.56,0.7,41582916.0,580290000000.0,1790714.0,39890000000.0,43373630.0,620180000000.0
28/04/2021,79.33,80.12,0.7,0.89,30104907.0,444480000000.0,4922983.0,128139999999.99998,35027890.0,572620000000.0
27/04/2021,79.47,79.41,-0.01,-0.01,39169704.0,518640000000.0,743605.0,35770000000.0,39913309.0,554410000000.0
26/04/2021,80.81,79.42,-0.98,-1.21,50785605.0,650080000000.0,3975662.0,54900000000.0,54761267.0,704980000000.0
23/04/2021,79.21,80.4,0.65,0.81,111484649.0,875730000000.0,2277334.0,36270000000.0,113761983.0,912000000000.0
22/04/2021,81.72,79.75,-1.98,-2.42,64554286.0,973270000000.0,2393054.0,59510000000.0,66947340.0,1032780000000.0
20/04/2021,0.0,81.73,-0.27,-0.32,66763333.0,885360000000.0,3837963.0,90580000000.0,70601296.0,975940000000.0
19/04/2021,81.89,81.99,0.2,0.25,56404452.0,803250000000.0,8954973.0,128440000000.0,65359425.0,931690000000.0
16/04/2021,82.61,81.79,-0.91,-1.1,129582833.0,1245000000000.0,12170191.0,279710000000.0,141753024.0,1524700000000.0
15/04/2021,83.42,82.7,-0.7,-0.83,73288247.0,1037730000000.0,2278044.0,49630000000.0,75566291.0,1087359999999.9999
14/04/2021,82.93,83.4,0.27,0.32,75799898.0,1050150000000.0001,1419278.0,42750000000.0,77219176.0,1092900000000.0001
13/04/2021,84.17,83.13,-0.97,-1.16,117135171.0,1634730000000.0,6066210.0,147610000000.0,123201381.0,1782340000000.0
12/04/2021,83.55,84.1,1.09,1.32,79831791.0,1250730000000.0,172144.0,4680000000.0,80003935.0,1255410000000.0
09/04/2021,82.92,83.01,-0.06,-0.07,109562294.0,981090000000.0,4195918.0,64180000000.00001,113758212.0,1045260000000.0
08/04/2021,83.25,83.07,0.51,0.62,91256591.0,1269050000000.0,15564870.0,251790000000.0,106821461.0,1520830000000.0
07/04/2021,82.63,82.56,-0.04,-0.05,77246566.0,1035579999999.9999,1774646.0,82950000000.0,79021212.0,1118520000000.0
06/04/2021,82.69,82.6,-0.25,-0.3,81851697.0,1175090000000.0,6883296.0,134979999999.99998,88734993.0,1310070000000.0
05/04/2021,82.76,82.84,0.57,0.69,85729780.0,1249870000000.0,7898200.0,223990000000.0,93627980.0,1473850000000.0
02/04/2021,82.37,82.27,0.56,0.69,113619406.0,1136450000000.0,37937595.0,122560000000.0,151557001.0,1259000000000.0
01/04/2021,81.86,81.71,0.3,0.37,74371686.0,1153200000000.0,1482180.0,26180000000.0,75853866.0,1179380000000.0
31/03/2021,81.23,81.41,0.79,0.97,88912969.0,1367190000000.0,5676883.0,75610000000.0,94589852.0,1442810000000.0
30/03/2021,80.63,80.63,0.11,0.14,53723258.0,824380000000.0,7137651.0,341080000000.0,60860909.0,1165460000000.0
29/03/2021,80.36,80.52,0.66,0.83,56531715.0,819490000000.0,1796727.0,37320000000.0,58328442.0,856810000000.0
26/03/2021,80.02,79.85,-0.52,-0.65,110459427.0,1141580000000.0,1770336.0,27150000000.0,112229763.0,1168730000000.0
25/03/2021,80.72,80.38,-0.12,-0.15,51064019.0,834310000000.0,1962691.0,113830000000.0,53026710.0,948130000000.0
24/03/2021,80.85,80.5,-0.65,-0.8,74290382.0,1292570000000.0,1347761.0,18820000000.0,75638143.0,1311380000000.0
23/03/2021,81.66,81.14,-0.13,-0.16,58920987.0,1028670000000.0001,13562525.0,165460000000.0,72483512.0,1194130000000.0
22/03/2021,81.44,81.28,-0.2,-0.25,60562296.0,1103290000000.0,20477597.0,258370000000.0,81039893.0,1361660000000.0
19/03/2021,81.33,81.48,-0.21,-0.25,113198236.0,1408180000000.0,6995172.0,144550000000.0,120193408.0,1552730000000.0
18/03/2021,82.0,81.69,-0.03,-0.03,50601749.0,909290000000.0,2332751.0,35180000000.0,52934500.0,944470000000.0
17/03/2021,81.26,81.71,0.78,0.96,81637201.0,1631100000000.0,2089352.0,29340000000.0,83726553.0,1660440000000.0
16/03/2021,81.02,80.93,0.11,0.13,71981660.0,1213940000000.0,24921609.0,341370000000.0,96903269.0,1555310000000.0
15/03/2021,80.86,80.82,0.49,0.61,51439911.0,921740000000.0,2445915.0,69090000000.0,53885826.0,990830000000.0
