Mã chứng khoán,Giá,Thay đổi,% Thay đổi,Khối lượng cổ phiếu lưu hành,Vốn hóa,Tỷ trọng,% Ảnh hưởng,Điểm ảnh hưởng
DCL,30800,2000.0,6.94,56832824,1750450979200,0.0374,0.009,0.105
RIC,20800,1350.0,6.94,70368754,1463670083200,0.0313,0.0382,0.4291
FUCTVGF1,12350,800.0,6.93,15000000,185250000000,0.0039,0.0002,0.0023
HSL,7270,470.0,6.91,15749956,114502180120,0.0024,0.0007,0.007
TIX,31000,2000.0,6.9,30000000,930000000000,0.0199,0.0024,0.0281
FUCVREIT,33500,2150.0,6.86,5000000,167500000000,0.0035,0.0034,0.0371
BCG,13250,850.0,6.85,203468140,2695952855000,0.0577,0.0053,0.0517
PSH,24400,1550.0,6.78,126150380,3078069272000,0.0659,0.0225,0.2691
TAC,61900,3900.0,6.72,33876148,2096933561200,0.0449,0.0127,0.1499
KMR,3980,250.0,6.7,56877807,226373671860,0.0048,0.0015,0.0205
FUCTVGF2,15150,950.0,6.69,17000000,257550000000,0.0055,0.0014,0.0165
VDP,36700,2300.0,6.69,16049504,589016796800,0.0126,0.0025,0.038
MHC,12150,750.0,6.58,41406844,503093154600,0.0107,0.0044,0.0548
UIC,57100,3500.0,6.53,8000000,456800000000,0.0097,0.0019,0.0241
VNL,19700,1200.0,6.49,9000000,177300000000,0.0037,0.001,0.0107
CMV,16450,1000.0,6.47,18155868,298664028600,0.0063,0.0024,0.0312
VAF,10150,610.0,6.39,37665348,382303282200,0.0081,0.001,0.0129
VPB,58500,3500.0,6.36,2454748366,143602779411000,3.0751,1.5592,17.9568
VCA,15400,900.0,6.21,15187322,233884758800,0.005,0.0013,0.0139
FUEMAV30,15690,830.0,5.59,32500000,509925000000,0.0109,0.0022,0.0237
CLW,32000,1650.0,5.44,13000000,416000000000,0.0089,0.0027,0.0352
TSC,10700,550.0,5.42,147648084,1579834498800,0.0338,0.0259,0.312
CIG,9000,440.0,5.14,31539947,283859523000,0.006,0.0056,0.0679
LPB,21500,1050.0,5.13,1074638915,23104736672500,0.4947,0.2378,2.784
LCM,2880,140.0,5.11,24632809,70942489920,0.0015,0.0012,0.0142
REE,53600,2600.0,5.1,309050926,16565129633600,0.3547,0.0464,0.4526
CRE,39550,1900.0,5.05,95999800,3796792090000,0.0813,0.025,0.3024
PHC,14050,650.0,4.85,25748260,361763053000,0.0077,0.0008,0.0128
HTV,15350,700.0,4.78,13104000,201146400000,0.0043,0.0005,0.007
VID,12200,550.0,4.72,30880070,376736854000,0.008,0.0034,0.0384
PLP,10300,440.0,4.46,39999847,411998424100,0.0088,0.001,0.0124
VIS,20050,850.0,4.43,73830393,1480299379650,0.0316,0.0069,0.0822
PJT,12300,500.0,4.24,15360478,188933879400,0.004,0.0006,0.006
PIT,6350,250.0,4.1,14210225,90234928750,0.0019,0.0006,0.0048
PGC,17450,650.0,3.87,60339285,1052920523250,0.0225,-0.0028,-0.0339
SRF,13600,500.0,3.82,30715397,417729399200,0.0089,0.0002,0.0073
EVE,16350,600.0,3.81,38047973,622084358550,0.0133,0.0038,0.0446
HPG,58100,2100.0,3.75,3313282659,192501722487900,4.1222,1.3399,15.5302
NT2,21200,750.0,3.67,287876029,6102971814800,0.1306,-0.0125,-0.1708
YEG,24000,800.0,3.45,31279968,750719232000,0.016,-0.0135,-0.1589
FIT,10650,350.0,3.4,254730247,2712877130550,0.058,-0.0201,-0.2112
VPS,16400,500.0,3.14,24460792,401156988800,0.0085,0.0025,0.0276
GVR,25750,750.0,3.0,4000000000,103000000000000,2.2056,-0.2357,-2.6545
DGW,111500,3100.0,2.86,43000278,4794530997000,0.1026,0.0337,0.3663
HDC,39500,1100.0,2.86,66515837,2627375561500,0.0562,0.0061,0.0645
LHG,35950,1000.0,2.86,50012010,1797931759500,0.0385,0.0031,0.0359
NLG,36300,1000.0,2.83,285270660,10355324958000,0.2217,0.0514,0.5698
HUB,25800,700.0,2.79,19057316,491678752800,0.0105,0.0027,0.0268
GIL,74000,2000.0,2.78,35983800,2662801200000,0.057,0.0295,0.3346
PHR,53300,1400.0,2.7,135499198,7222107253400,0.1546,-0.0264,-0.3243
SVT,17250,450.0,2.68,11579574,199747651500,0.0042,0.0016,0.0164
NVL,131400,3400.0,2.66,1074709785,141216865749000,3.024,1.5731,18.8539
CTG,40800,1050.0,2.64,3723404556,151914905884800,3.2531,0.6976,7.3152
TCB,41000,1050.0,2.63,3504906230,143701155430000,3.0772,0.882,9.5154
NHA,31500,800.0,2.61,24144965,760566397500,0.0162,0.0083,0.0914
AST,55400,1400.0,2.59,45000000,2493000000000,0.0533,-0.0007,-0.0142
CCI,16050,400.0,2.56,17541105,281534735250,0.006,-0.0001,-0.0008
SFI,38450,950.0,2.53,13355293,513511015850,0.0109,0.0026,0.0324
ACB,34650,850.0,2.51,2161558460,74898000639000,1.6038,0.3689,4.0178
PNJ,98000,2300.0,2.4,227366563,22281923174000,0.4771,0.0987,1.1292
FIR,26700,600.0,2.3,27039864,721964368800,0.0154,-0.0002,-0.0001
SGT,15900,350.0,2.25,74001604,1176625503600,0.0251,0.0187,0.2284
ELC,12050,250.0,2.12,50618648,609954708400,0.013,0.0043,0.0486
FUEVFVND,21900,450.0,2.1,523300000,11460270000000,0.2454,0.0492,0.5567
