Ngày,Tham chiếu,Tổng khối lượng GD,Tổng giá trị GD,Vốn hóa Thị trường,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Thay đổi,% Thay đổi,Khối lượng GD Khớp lệnh,Giá trị GD Khớp lệnh,Khối lượng GD Thỏa thuận,Giá trị GD Thoả thuận
29/04/2021,"11,550",100,1000000.0,185,"12,350","12,350","12,350","12,350",800,6.93,100,1000000.0,-,
28/04/2021,"11,550",-,,173,"11,550","11,550","11,550","11,550",,,,,-,
27/04/2021,"12,400",900,10000000.0,173,"11,550","11,550","11,550","11,550",-850,-6.85,900,10000000.0,-,
26/04/2021,"13,300",100,1000000.0,186,"12,400","12,400","12,400","12,400",-900,-6.77,100,1000000.0,-,
23/04/2021,"13,300",-,,200,"13,300","13,300","13,300","13,300",,,,,-,
22/04/2021,"13,300",-,,200,"13,300","13,300","13,300","13,300",,,,,-,
20/04/2021,"13,300",-,,200,"13,300","13,300","13,300","13,300",,,,,-,
19/04/2021,"13,300",-,,200,"13,300","13,300","13,300","13,300",,,,,-,
16/04/2021,"13,300",-,,200,"13,300","13,300","13,300","13,300",,,,,-,
15/04/2021,"13,300",-,,200,"13,300","13,300","13,300","13,300",,,,,-,
14/04/2021,"13,300",-,,200,"13,300","13,300","13,300","13,300",,,,,-,
13/04/2021,"13,300",-,,200,"13,300","13,300","13,300","13,300",,,,,-,
12/04/2021,"13,300",400,5000000.0,200,"13,300","13,300","13,300","13,300",,,400,5000000.0,-,
09/04/2021,"13,300",-,,200,"13,300","13,300","13,300","13,300",,,,,-,
08/04/2021,"13,300",-,,200,"13,300","13,300","13,300","13,300",,,,,-,
07/04/2021,"13,300",-,,200,"13,300","13,300","13,300","13,300",,,,,-,
06/04/2021,"13,300",-,,200,"13,300","13,300","13,300","13,300",,,,,-,
05/04/2021,"13,300",300,4000000.0,200,"13,300","13,300","13,300","13,300",,,300,4000000.0,-,
02/04/2021,"13,300",-,,200,"13,300","13,300","13,300","13,300",,,,,-,
01/04/2021,"13,300",-,,200,"13,300","13,300","13,300","13,300",,,,,-,
31/03/2021,"13,300",500,7000000.0,200,"13,300","13,300","13,300","13,300",,,500,7000000.0,-,
30/03/2021,"13,300",-,,200,"13,300","13,300","13,300","13,300",,,,,-,
29/03/2021,"13,300",-,,200,"13,300","13,300","13,300","13,300",,,,,-,
26/03/2021,"13,350",200,3000000.0,200,"13,350","13,300","13,350","13,300",-50,-0.37,200,3000000.0,-,
25/03/2021,"12,500","1,100",15000000.0,200,"13,350","13,350","13,350","13,350",850,6.8,"1,100",15000000.0,-,
24/03/2021,"12,500",-,,188,"14,500","12,500","12,500","12,500",,,,,-,
23/03/2021,"12,500",-,,188,"14,500","12,500","12,500","12,500",,,,,-,
22/03/2021,"12,500",-,,188,"14,500","12,500","12,500","12,500",,,,,-,
19/03/2021,"12,500",-,,188,"14,500","12,500","12,500","12,500",,,,,-,
18/03/2021,"12,500",-,,188,"14,500","12,500","12,500","12,500",,,,,-,
17/03/2021,"12,500",-,,188,"12,500","12,500","12,500","12,500",,,,,-,
16/03/2021,"12,500",-,,188,"14,500","12,500","12,500","12,500",,,,,-,
15/03/2021,"12,500",-,,188,"14,500","12,500","12,500","12,500",,,,,-,
12/03/2021,"12,500",-,,188,"14,500","12,500","12,500","12,500",,,,,-,
11/03/2021,"12,500",-,,188,"14,500","12,500","12,500","12,500",,,,,-,
10/03/2021,"12,500",-,,188,"14,500","12,500","12,500","12,500",,,,,-,
09/03/2021,"12,500",-,,188,"14,500","12,500","12,500","12,500",,,,,-,
08/03/2021,"12,500",-,,188,"14,500","12,500","12,500","12,500",,,,,-,
05/03/2021,"12,500",-,,188,"14,500","12,500","12,500","12,500",,,,,-,
04/03/2021,"12,500",-,,188,"14,500","12,500","12,500","12,500",,,,,-,
03/03/2021,"12,500",-,,188,"14,500","12,500","12,500","12,500",,,,,-,
02/03/2021,"12,500",-,,188,"14,500","12,500","12,500","12,500",,,,,-,
01/03/2021,"12,500",-,,188,"14,500","12,500","12,500","12,500",,,,,-,
26/02/2021,"12,500",-,,188,"14,500","12,500","12,500","12,500",,,,,-,
25/02/2021,"12,500",-,,188,"14,500","12,500","12,500","12,500",,,,,-,
24/02/2021,"12,500",-,,188,"14,500","12,500","12,500","12,500",,,,,-,
23/02/2021,"12,500",-,,188,"14,500","12,500","12,500","12,500",,,,,-,
22/02/2021,"12,500",-,,188,"14,500","12,500","12,500","12,500",,,,,-,
19/02/2021,"12,500",-,,188,"14,500","12,500","12,500","12,500",,,,,-,
18/02/2021,"14,500","1,500",21000000.0,218,"13,500","14,500","14,500","13,500",,,"1,500",21000000.0,-,
17/02/2021,"14,500",-,,218,"14,500","14,500","14,500","14,500",,,,,-,
09/02/2021,"14,500",-,,218,"14,500","14,500","14,500","14,500",,,,,-,
08/02/2021,"14,500",-,,218,"14,500","14,500","14,500","14,500",,,,,-,
05/02/2021,"14,500",-,,218,"14,500","14,500","14,500","14,500",,,,,-,
04/02/2021,"14,500",-,,218,"14,500","14,500","14,500","14,500",,,,,-,
