Tên chứng khoán,Mã chứng khoán,Sàn giao dịch,Ngành cấp 3
CTCP Simco Sông Đà,SDA,HNX,Dịch vụ hành chính và hỗ trợ
CTCP Du lịch - Thương mại Tây Ninh,TTT,HNX,Dịch vụ hành chính và hỗ trợ
CTCP Nhân lực và Thương mại Vinaconex,VCM,HNX,Dịch vụ hành chính và hỗ trợ
CTCP Khách sạn Sài Gòn,SGH,HNX,Khách sạn và phòng ở
CTCP Du lịch Dầu khí Phương Đông,PDC,HNX,Khách sạn và phòng ở
CTCP Khách sạn và  Dịch vụ OCH,OCH,HNX,Khách sạn và phòng ở
CTCP Suất ăn Công nghiệp Atesco,ATS,HNX,Dịch vụ ăn uống
CTCP Quốc tế Hoàng Gia,RIC,HOSE,"Công nghiệp giải trí, đánh bạc và tiêu khiển"
CTCP Công viên nước Đầm Sen,DSN,HOSE,"Công nghiệp giải trí, đánh bạc và tiêu khiển"
CTCP Du lịch Dịch vụ Hội An,HOT,HOSE,Khách sạn và phòng ở
CTCP Du lịch Thành Thành Công,VNG,HOSE,Khách sạn và phòng ở
CTCP Bất động sản Du lịch Ninh Vân Bay,NVT,HOSE,Khách sạn và phòng ở
CTCP Tập đoàn Khách sạn Đông Á,DAH,HOSE,Khách sạn và phòng ở
