Ngày,Tham chiếu,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Thay đổi,% Thay đổi,Khối lượng GD Khớp lệnh,Giá trị GD Khớp lệnh,Khối lượng GD Thỏa thuận,Giá trị GD Thoả thuận,Tổng khối lượng GD,Tổng giá trị GD,Vốn hóa Thị trường
29/04/2021,282.07,282.07,281.75,282.62,281.02,-0.32,-0.11,85136900,1710896220000.0,36258481,686138937000.0,121395381,2397035157000.0,356571280378300.0
28/04/2021,280.56,280.56,282.07,282.1,279.02,1.51,0.54,85745400,1704865350000.0,11154193,297732169900.0,96899593,2002597519900.0,358919887161500.0
27/04/2021,280.68,280.68,280.56,280.68,277.56,-0.12,-0.04,100340600,1673855580000.0,2050108,42088286000.0,102390708,1715943866000.0,356430413271420.0
26/04/2021,283.63,283.63,280.68,287.82,280.24,-2.95,-1.04,127902700,2306460220000.0,13899800,326695284200.0,141802500,2633155504200.0,356184693769700.0
23/04/2021,287.04,287.04,283.63,287.53,277.93,-3.4,-1.19,137537600,2360464320000.0,1306616,27884150700.0,138844216,2388348470700.0,361144223335530.0
22/04/2021,296.48,296.48,287.04,297.37,287.04,-9.44,-3.18,168394400,3285727570000.0,12034460,443543045800.0,180428860,3729270615800.0,362151974380440.0
20/04/2021,295.75,295.75,296.48,297.57,295.48,0.73,0.25,155958300,2836019000000.0,4429623,230132719100.0,160387923,3066151719100.0,374118678001820.0
19/04/2021,293.11,292.39,295.75,295.78,291.13,2.64,0.9,151325000,2626436340000.0,7410212,170443150700.0,158735212,2796879490700.0,373445327376810.0
16/04/2021,296.12,296.12,293.11,296.72,290.21,-3.01,-1.02,218553575,3576717424500.0,6476392,255025769700.0,225029967,3831743194200.0,371061384977580.0
15/04/2021,294.83,294.83,296.12,297.22,294.16,1.29,0.44,157389076,2872454112200.0,14651605,347798839200.0,172040681,3220252951400.0,367990566341910.0
14/04/2021,292.19,292.19,294.83,294.83,290.7,2.64,0.9,155331024,2545535233000.0,11723950,221939486300.0,167054974,2767474719300.0,367451205821350.0
13/04/2021,295.53,295.53,292.19,298.28,292.19,-3.35,-1.13,227435372,3913179296400.0,5149938,122394420500.0,232585310,4035573716900.0,363771092141900.0
12/04/2021,293.79,293.79,295.53,295.85,292.86,1.75,0.6,183188830,3092198329000.0,8586328,120388864300.0,191775158,3212587193300.0,375616339934810.0
09/04/2021,293.75,293.75,293.79,294.15,291.92,0.04,0.01,160739500,2757053580000.0,3721061,81186444100.0,164460561,2838240024100.0,373767099505680.0
08/04/2021,292.84,292.86,293.75,294.18,291.15,0.91,0.31,178358127,2917236179500.0,4940734,92013186700.0,183298861,3009249366200.0,373809175274500.0
07/04/2021,291.68,291.68,292.84,293.26,291.06,1.16,0.4,157636222,2752163961000.0,6335524,73009389100.0,163971746,2825173350100.0,371934114338460.0
06/04/2021,291.24,292.03,291.68,292.82,288.99,0.44,0.15,189576119,3488712650400.0,8457897,161928948400.0,198034016,3650641598800.0,370257856788850.0
05/04/2021,294.89,294.57,291.24,297.34,291.24,-3.65,-1.24,149004209,2401483201800.0,5470675,51116603900.0,154474884,2452599805700.0,368385588741900.0
02/04/2021,292.4,292.4,294.89,298.0,291.91,2.49,0.85,178006432,3447417068800.0,3919961,51338125300.0,181926393,3498755194100.0,365611977156820.0
01/04/2021,286.67,286.67,292.4,293.84,284.39,5.73,2.0,187336986,3284717502600.0,3272002,35518468400.0,190608988,3320235971000.0,362659818405000.0
31/03/2021,281.14,281.14,286.67,286.72,279.81,5.52,1.96,210779964,3409165608600.0,3235488,39489836000.0,214015452,3448655444600.0,353723312248550.0
30/03/2021,276.16,276.16,281.14,281.37,276.16,4.98,1.8,160783444,2555334436100.0,8399570,228531670900.0,169183014,2783866107000.0,355872313649730.0
29/03/2021,270.96,270.96,276.16,276.16,269.83,5.2,1.92,170220537,2524687462400.0,7999342,194537083800.0,178219879,2719224546200.0,353202239760670.0
26/03/2021,267.19,267.19,270.96,270.96,258.73,3.77,1.41,215622952,3405868546600.0,8800923,84847520500.0,224423875,3490716067100.0,348278162214220.0
25/03/2021,268.69,268.69,267.19,269.79,266.45,-1.5,-0.56,107194292,1467394915500.0,7635421,119253368000.0,114829713,1586648283500.0,344387631619420.0
24/03/2021,272.34,272.34,268.69,272.69,265.13,-3.65,-1.34,168551684,2560544413800.0,9816006,236843060700.0,178367690,2797387474500.0,345675749024920.0
23/03/2021,274.84,274.84,272.34,276.22,269.49,-2.5,-0.91,163960658,2590261149400.0,15920578,159487050300.0,179881236,2749748199700.0,347736427177750.0
22/03/2021,277.7,278.02,274.84,278.84,274.31,-2.86,-1.03,131598669,1904923335000.0,28959119,540096957199.99994,160557788,2445020292200.0,349867545237490.0
19/03/2021,277.48,277.48,277.7,277.79,274.63,0.22,0.08,140322896,2269262238200.0,11116821,297165870400.0,151439717,2566428108600.0,351666853060990.0
18/03/2021,276.55,276.55,277.48,278.71,275.27,0.93,0.34,143093257,2644547009700.0,5005382,71993214900.0,148098639,2716540224600.0,355075494406320.0
